Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kristinehamn;94180;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1931-02-01 00:00:00;2018-05-01 15:00:00;82.0;59.3107;14.1019

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1931-01-02 07:00:01;1931-02-01 07:00:00;1931-01;52.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1931-01-30 07:00:01;1931-03-01 07:00:00;1931-02;35.0;G;;Tidsperiod (fr.o.m.) = 1931-02-01 00:00:00 (UTC)
1931-03-02 07:00:01;1931-04-01 07:00:00;1931-03;12.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1931-04-01 07:00:01;1931-05-01 07:00:00;1931-04;35.0;G;;Värdet är summerat över = 1 månad
1931-05-02 07:00:01;1931-06-01 07:00:00;1931-05;52.0;G;;
1931-06-01 07:00:01;1931-07-01 07:00:00;1931-06;15.0;G;;Kvalitetskoderna:
1931-07-02 07:00:01;1931-08-01 07:00:00;1931-07;79.0;G;;Grön (G) = Kontrollerade och godkända värden.
1931-08-02 07:00:01;1931-09-01 07:00:00;1931-08;104.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1931-09-01 07:00:01;1931-10-01 07:00:00;1931-09;43.0;G;;
1931-10-02 07:00:01;1931-11-01 07:00:00;1931-10;38.0;G;;Orsaker till saknade data:
1931-11-01 07:00:01;1931-12-01 07:00:00;1931-11;22.0;G;;  stationen eller givaren har varit ur funktion.
1931-12-02 07:00:01;1932-01-01 07:00:00;1931-12;46.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1932-01-02 07:00:01;1932-02-01 07:00:00;1932-01;46.0;G
1932-01-31 07:00:01;1932-03-01 07:00:00;1932-02;4.0;G
1932-03-02 07:00:01;1932-04-01 07:00:00;1932-03;33.0;G
1932-04-01 07:00:01;1932-05-01 07:00:00;1932-04;68.0;G
1932-05-02 07:00:01;1932-06-01 07:00:00;1932-05;64.0;G
1932-06-01 07:00:01;1932-07-01 07:00:00;1932-06;53.0;G
1932-07-02 07:00:01;1932-08-01 07:00:00;1932-07;82.0;G
1932-08-02 07:00:01;1932-09-01 07:00:00;1932-08;58.0;G
1932-09-01 07:00:01;1932-10-01 07:00:00;1932-09;98.0;G
1932-10-02 07:00:01;1932-11-01 07:00:00;1932-10;97.0;G
1932-11-01 07:00:01;1932-12-01 07:00:00;1932-11;74.0;G
1932-12-02 07:00:01;1933-01-01 07:00:00;1932-12;18.0;G
1933-01-02 07:00:01;1933-02-01 07:00:00;1933-01;23.0;G
1933-01-30 07:00:01;1933-03-01 07:00:00;1933-02;12.0;G
1933-03-02 07:00:01;1933-04-01 07:00:00;1933-03;24.0;G
1933-04-01 07:00:01;1933-05-01 07:00:00;1933-04;10.0;G
1933-05-02 07:00:01;1933-06-01 07:00:00;1933-05;72.0;G
1933-06-01 07:00:01;1933-07-01 07:00:00;1933-06;28.0;G
1933-07-02 07:00:01;1933-08-01 07:00:00;1933-07;87.0;G
1933-08-02 07:00:01;1933-09-01 07:00:00;1933-08;33.0;G
1933-09-01 07:00:01;1933-10-01 07:00:00;1933-09;57.0;G
1933-10-02 07:00:01;1933-11-01 07:00:00;1933-10;43.0;G
1933-11-01 07:00:01;1933-12-01 07:00:00;1933-11;6.0;G
1933-12-02 07:00:01;1934-01-01 07:00:00;1933-12;7.0;G
1934-01-02 07:00:01;1934-02-01 07:00:00;1934-01;41.0;G
1934-01-30 07:00:01;1934-03-01 07:00:00;1934-02;31.0;G
1934-03-02 07:00:01;1934-04-01 07:00:00;1934-03;59.0;G
1934-04-01 07:00:01;1934-05-01 07:00:00;1934-04;37.0;G
1934-05-02 07:00:01;1934-06-01 07:00:00;1934-05;48.0;G
1934-06-01 07:00:01;1934-07-01 07:00:00;1934-06;10.0;G
1934-07-02 07:00:01;1934-08-01 07:00:00;1934-07;102.0;G
1934-08-02 07:00:01;1934-09-01 07:00:00;1934-08;120.0;G
1934-09-01 07:00:01;1934-10-01 07:00:00;1934-09;70.0;G
1934-10-02 07:00:01;1934-11-01 07:00:00;1934-10;112.0;G
1934-11-01 07:00:01;1934-12-01 07:00:00;1934-11;70.0;G
1934-12-02 07:00:01;1935-01-01 07:00:00;1934-12;80.0;G
1935-01-02 07:00:01;1935-02-01 07:00:00;1935-01;32.0;G
1935-01-30 07:00:01;1935-03-01 07:00:00;1935-02;80.0;G
1935-03-02 07:00:01;1935-04-01 07:00:00;1935-03;39.0;G
1935-04-01 07:00:01;1935-05-01 07:00:00;1935-04;51.0;G
1935-05-02 07:00:01;1935-06-01 07:00:00;1935-05;6.0;G
1935-06-01 07:00:01;1935-07-01 07:00:00;1935-06;88.0;G
1935-07-02 07:00:01;1935-08-01 07:00:00;1935-07;40.0;G
1935-08-02 07:00:01;1935-09-01 07:00:00;1935-08;14.0;G
1935-09-01 07:00:01;1935-10-01 07:00:00;1935-09;114.0;G
1935-10-02 07:00:01;1935-11-01 07:00:00;1935-10;132.0;G
1935-11-01 07:00:01;1935-12-01 07:00:00;1935-11;49.0;G
1935-12-02 07:00:01;1936-01-01 07:00:00;1935-12;74.0;G
1936-01-02 07:00:01;1936-02-01 07:00:00;1936-01;83.0;G
1936-01-31 07:00:01;1936-03-01 07:00:00;1936-02;19.0;G
1936-03-02 07:00:01;1936-04-01 07:00:00;1936-03;17.0;G
1936-04-01 07:00:01;1936-05-01 07:00:00;1936-04;70.0;G
1936-05-02 07:00:01;1936-06-01 07:00:00;1936-05;55.0;G
1936-06-01 07:00:01;1936-07-01 07:00:00;1936-06;56.0;G
1936-07-02 07:00:01;1936-08-01 07:00:00;1936-07;116.0;G
1936-08-02 07:00:01;1936-09-01 07:00:00;1936-08;55.0;G
1936-09-01 07:00:01;1936-10-01 07:00:00;1936-09;34.0;G
1936-10-02 07:00:01;1936-11-01 07:00:00;1936-10;41.0;G
1936-11-01 07:00:01;1936-12-01 07:00:00;1936-11;85.0;G
1936-12-02 07:00:01;1937-01-01 07:00:00;1936-12;32.0;G
1937-01-02 07:00:01;1937-02-01 07:00:00;1937-01;9.0;G
1937-01-30 07:00:01;1937-03-01 07:00:00;1937-02;58.0;G
1937-03-02 07:00:01;1937-04-01 07:00:00;1937-03;48.0;G
1937-04-01 07:00:01;1937-05-01 07:00:00;1937-04;24.0;G
1937-05-02 07:00:01;1937-06-01 07:00:00;1937-05;50.0;G
1937-06-01 07:00:01;1937-07-01 07:00:00;1937-06;51.0;G
1937-07-02 07:00:01;1937-08-01 07:00:00;1937-07;36.0;G
1937-08-02 07:00:01;1937-09-01 07:00:00;1937-08;63.0;G
1937-09-01 07:00:01;1937-10-01 07:00:00;1937-09;100.0;G
1937-10-02 07:00:01;1937-11-01 07:00:00;1937-10;5.0;G
1937-11-01 07:00:01;1937-12-01 07:00:00;1937-11;71.0;G
1937-12-02 07:00:01;1938-01-01 07:00:00;1937-12;48.0;G
1938-01-02 07:00:01;1938-02-01 07:00:00;1938-01;53.0;G
1938-01-30 07:00:01;1938-03-01 07:00:00;1938-02;21.0;G
1938-03-02 07:00:01;1938-04-01 07:00:00;1938-03;30.0;G
1938-04-01 07:00:01;1938-05-01 07:00:00;1938-04;8.0;G
1938-05-02 07:00:01;1938-06-01 07:00:00;1938-05;28.0;G
1938-06-01 07:00:01;1938-07-01 07:00:00;1938-06;78.0;G
1938-07-02 07:00:01;1938-08-01 07:00:00;1938-07;119.0;G
1938-08-02 07:00:01;1938-09-01 07:00:00;1938-08;69.0;G
1938-09-01 07:00:01;1938-10-01 07:00:00;1938-09;58.0;G
1938-10-02 07:00:01;1938-11-01 07:00:00;1938-10;94.0;G
