Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Grythyttan;94420;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1878-04-01 00:00:00;2018-04-30 23:59:59;185.0;59.7113;14.5301

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1878-03-01 07:00:01;1878-04-01 07:00:00;1878-03;27.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1878-04-01 07:00:01;1878-05-01 07:00:00;1878-04;15.0;G;;Tidsperiod (fr.o.m.) = 1878-04-01 00:00:00 (UTC)
1878-05-01 07:00:01;1878-06-01 07:00:00;1878-05;115.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1878-06-01 07:00:01;1878-07-01 07:00:00;1878-06;108.0;G;;Värdet är summerat över = 1 månad
1878-07-01 07:00:01;1878-08-01 07:00:00;1878-07;44.0;G;;
1878-08-01 07:00:01;1878-09-01 07:00:00;1878-08;84.0;G;;Kvalitetskoderna:
1878-09-01 07:00:01;1878-10-01 07:00:00;1878-09;76.0;G;;Grön (G) = Kontrollerade och godkända värden.
1878-10-01 07:00:01;1878-11-01 07:00:00;1878-10;77.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1878-11-01 07:00:01;1878-12-01 07:00:00;1878-11;31.0;G;;
1878-12-01 07:00:01;1879-01-01 07:00:00;1878-12;45.0;G;;Orsaker till saknade data:
1879-01-01 07:00:01;1879-02-01 07:00:00;1879-01;18.0;G;;  stationen eller givaren har varit ur funktion.
1879-02-01 07:00:01;1879-03-01 07:00:00;1879-02;22.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1879-03-01 07:00:01;1879-04-01 07:00:00;1879-03;24.0;G
1879-04-01 07:00:01;1879-05-01 07:00:00;1879-04;26.0;G
1879-05-01 07:00:01;1879-06-01 07:00:00;1879-05;81.0;G
1879-06-01 07:00:01;1879-07-01 07:00:00;1879-06;89.0;G
1879-07-01 07:00:01;1879-08-01 07:00:00;1879-07;105.0;G
1879-08-01 07:00:01;1879-09-01 07:00:00;1879-08;81.0;G
1879-09-01 07:00:01;1879-10-01 07:00:00;1879-09;53.0;G
1879-10-01 07:00:01;1879-11-01 07:00:00;1879-10;75.0;G
1879-11-01 07:00:01;1879-12-01 07:00:00;1879-11;27.0;G
1879-12-01 07:00:01;1880-01-01 07:00:00;1879-12;15.0;G
1880-01-01 07:00:01;1880-02-01 07:00:00;1880-01;5.0;G
1880-02-01 07:00:01;1880-03-01 07:00:00;1880-02;28.0;G
1880-03-01 07:00:01;1880-04-01 07:00:00;1880-03;15.0;G
1880-04-01 07:00:01;1880-05-01 07:00:00;1880-04;33.0;G
1880-05-01 07:00:01;1880-06-01 07:00:00;1880-05;45.0;G
1880-06-01 07:00:01;1880-07-01 07:00:00;1880-06;34.0;G
1880-07-01 07:00:01;1880-08-01 07:00:00;1880-07;125.0;G
1880-08-01 07:00:01;1880-09-01 07:00:00;1880-08;41.0;G
1880-09-01 07:00:01;1880-10-01 07:00:00;1880-09;61.0;G
1880-10-01 07:00:01;1880-11-01 07:00:00;1880-10;42.0;G
1880-11-01 07:00:01;1880-12-01 07:00:00;1880-11;47.0;G
1880-12-01 07:00:01;1881-01-01 07:00:00;1880-12;62.0;G
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;12.0;G
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;38.0;G
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;25.0;G
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;12.0;G
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;69.0;G
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;69.0;G
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;118.0;G
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;113.0;G
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;81.0;G
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;66.0;G
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;67.0;G
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;62.0;G
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;54.0;G
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;50.0;G
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;47.0;G
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;106.0;G
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;70.0;G
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;82.0;G
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;110.0;G
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;131.0;G
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;41.0;G
1882-10-01 07:00:01;1882-11-01 07:00:00;1882-10;63.0;G
1882-11-01 07:00:01;1882-12-01 07:00:00;1882-11;89.0;G
1882-12-01 07:00:01;1883-01-01 07:00:00;1882-12;44.0;G
1883-01-01 07:00:01;1883-02-01 07:00:00;1883-01;24.0;G
1883-02-01 07:00:01;1883-03-01 07:00:00;1883-02;17.0;G
1883-03-01 07:00:01;1883-04-01 07:00:00;1883-03;9.0;G
1883-04-01 07:00:01;1883-05-01 07:00:00;1883-04;14.0;G
1883-05-01 07:00:01;1883-06-01 07:00:00;1883-05;22.0;G
1883-06-01 07:00:01;1883-07-01 07:00:00;1883-06;59.0;G
1883-07-01 07:00:01;1883-08-01 07:00:00;1883-07;187.0;G
1883-08-01 07:00:01;1883-09-01 07:00:00;1883-08;89.0;G
1883-09-01 07:00:01;1883-10-01 07:00:00;1883-09;146.0;G
1883-10-01 07:00:01;1883-11-01 07:00:00;1883-10;73.0;G
1883-11-01 07:00:01;1883-12-01 07:00:00;1883-11;103.0;G
1883-12-01 07:00:01;1884-01-01 07:00:00;1883-12;22.0;G
1884-01-01 07:00:01;1884-02-01 07:00:00;1884-01;58.0;G
1884-02-01 07:00:01;1884-03-01 07:00:00;1884-02;26.0;G
1884-03-01 07:00:01;1884-04-01 07:00:00;1884-03;20.0;G
1884-04-01 07:00:01;1884-05-01 07:00:00;1884-04;23.0;G
1884-05-01 07:00:01;1884-06-01 07:00:00;1884-05;62.0;G
1884-06-01 07:00:01;1884-07-01 07:00:00;1884-06;94.0;G
1884-07-01 07:00:01;1884-08-01 07:00:00;1884-07;160.0;G
1884-08-01 07:00:01;1884-09-01 07:00:00;1884-08;38.0;G
1884-09-01 07:00:01;1884-10-01 07:00:00;1884-09;63.0;G
1884-10-01 07:00:01;1884-11-01 07:00:00;1884-10;71.0;G
1884-11-01 07:00:01;1884-12-01 07:00:00;1884-11;21.0;G
1884-12-01 07:00:01;1885-01-01 07:00:00;1884-12;83.0;G
1885-01-01 07:00:01;1885-02-01 07:00:00;1885-01;30.0;G
1885-02-01 07:00:01;1885-03-01 07:00:00;1885-02;58.0;G
1885-03-01 07:00:01;1885-04-01 07:00:00;1885-03;23.0;G
1885-04-01 07:00:01;1885-05-01 07:00:00;1885-04;44.0;G
1885-05-01 07:00:01;1885-06-01 07:00:00;1885-05;67.0;G
1885-06-01 07:00:01;1885-07-01 07:00:00;1885-06;51.0;G
1885-07-01 07:00:01;1885-08-01 07:00:00;1885-07;51.0;G
1885-08-01 07:00:01;1885-09-01 07:00:00;1885-08;131.0;G
1885-09-01 07:00:01;1885-10-01 07:00:00;1885-09;73.0;G
1885-10-01 07:00:01;1885-11-01 07:00:00;1885-10;115.0;G
1885-11-01 07:00:01;1885-12-01 07:00:00;1885-11;45.0;G
1885-12-01 07:00:01;1886-01-01 07:00:00;1885-12;41.0;G
1886-01-01 07:00:01;1886-02-01 07:00:00;1886-01;34.0;G
1886-02-01 07:00:01;1886-03-01 07:00:00;1886-02;16.0;G
1886-03-01 07:00:01;1886-04-01 07:00:00;1886-03;30.0;G
1886-04-01 07:00:01;1886-05-01 07:00:00;1886-04;52.0;G
1886-05-01 07:00:01;1886-06-01 07:00:00;1886-05;32.0;G
1886-06-01 07:00:01;1886-07-01 07:00:00;1886-06;60.0;G
1886-07-01 07:00:01;1886-08-01 07:00:00;1886-07;57.0;G
1886-08-01 07:00:01;1886-09-01 07:00:00;1886-08;40.0;G
1886-09-01 07:00:01;1886-10-01 07:00:00;1886-09;35.0;G
1886-10-01 07:00:01;1886-11-01 07:00:00;1886-10;36.0;G
1886-11-01 07:00:01;1886-12-01 07:00:00;1886-11;66.0;G
1886-12-01 07:00:01;1887-01-01 07:00:00;1886-12;80.0;G
1887-01-01 07:00:01;1887-02-01 07:00:00;1887-01;32.0;G
1887-02-01 07:00:01;1887-03-01 07:00:00;1887-02;29.0;G
1887-03-01 07:00:01;1887-04-01 07:00:00;1887-03;12.0;G
1887-04-01 07:00:01;1887-05-01 07:00:00;1887-04;40.0;G
1887-05-01 07:00:01;1887-06-01 07:00:00;1887-05;32.0;G
1887-06-01 07:00:01;1887-07-01 07:00:00;1887-06;48.0;G
1887-07-01 07:00:01;1887-08-01 07:00:00;1887-07;75.0;G
1887-08-01 07:00:01;1887-09-01 07:00:00;1887-08;52.0;G
1887-09-01 07:00:01;1887-10-01 07:00:00;1887-09;125.0;G
1887-10-01 07:00:01;1887-11-01 07:00:00;1887-10;32.0;G
1887-11-01 07:00:01;1887-12-01 07:00:00;1887-11;31.0;G
1887-12-01 07:00:01;1888-01-01 07:00:00;1887-12;55.0;G
