Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Persberg;94450;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1992-09-01 00:00:00;2018-04-30 23:59:59;200.0;59.7494;14.2582
1879-09-01 00:00:00;1992-08-21 23:59:59;225.0;59.7497;14.2354

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1879-08-01 07:00:01;1879-09-01 07:00:00;1879-08;92.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1879-09-01 07:00:01;1879-10-01 07:00:00;1879-09;63.0;G;;Tidsperiod (fr.o.m.) = 1879-09-01 00:00:00 (UTC)
1879-10-01 07:00:01;1879-11-01 07:00:00;1879-10;68.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1879-11-01 07:00:01;1879-12-01 07:00:00;1879-11;21.0;G;;Värdet är summerat över = 1 månad
1879-12-01 07:00:01;1880-01-01 07:00:00;1879-12;15.0;G;;
1880-01-01 07:00:01;1880-02-01 07:00:00;1880-01;4.0;G;;Kvalitetskoderna:
1880-02-01 07:00:01;1880-03-01 07:00:00;1880-02;26.0;G;;Grön (G) = Kontrollerade och godkända värden.
1880-03-01 07:00:01;1880-04-01 07:00:00;1880-03;10.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1880-04-01 07:00:01;1880-05-01 07:00:00;1880-04;25.0;G;;
1880-05-01 07:00:01;1880-06-01 07:00:00;1880-05;32.0;G;;Orsaker till saknade data:
1880-06-01 07:00:01;1880-07-01 07:00:00;1880-06;77.0;G;;  stationen eller givaren har varit ur funktion.
1880-07-01 07:00:01;1880-08-01 07:00:00;1880-07;104.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1880-08-01 07:00:01;1880-09-01 07:00:00;1880-08;43.0;G
1880-09-01 07:00:01;1880-10-01 07:00:00;1880-09;53.0;G
1880-10-01 07:00:01;1880-11-01 07:00:00;1880-10;32.0;G
1880-11-01 07:00:01;1880-12-01 07:00:00;1880-11;46.0;G
1880-12-01 07:00:01;1881-01-01 07:00:00;1880-12;68.0;G
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;11.0;G
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;32.0;G
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;25.0;G
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;14.0;G
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;66.0;G
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;47.0;G
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;100.0;G
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;122.0;G
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;76.0;G
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;74.0;G
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;56.0;G
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;43.0;G
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;45.0;G
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;42.0;G
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;38.0;G
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;98.0;G
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;61.0;G
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;95.0;G
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;101.0;G
