Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Silvergruvan;94510;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1998-06-01 00:00:00;2014-02-02 05:59:59;205.0;59.8482;14.479
2014-03-01 00:00:00;2018-05-01 15:00:00;205.0;59.8482;14.479

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;32.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;114.0;Y;;Tidsperiod (fr.o.m.) = 1998-06-01 00:00:00 (UTC)
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;99.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;143.9;Y;;Värdet är summerat över = 1 månad
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;71.5;Y;;
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;105.7;Y;;Kvalitetskoderna:
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;37.1;Y;;Grön (G) = Kontrollerade och godkända värden.
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;69.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;76.3;Y;;
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;44.6;Y;;Orsaker till saknade data:
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;65.2;Y;;  stationen eller givaren har varit ur funktion.
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;63.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;35.1;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;122.3;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;118.1;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;54.7;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;117.0;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;71.3;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;52.2;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;132.9;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;35.3;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;53.6;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;27.7;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;66.5;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;84.4;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;67.4;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;199.2;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;73.7;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;30.4;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;195.3;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;179.2;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;127.8;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;92.2;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;44.2;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;46.7;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;62.1;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;48.1;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;60.3;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;61.7;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;98.9;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;101.4;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;90.4;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;21.0;Y
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;58.2;Y
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;83.2;Y
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;97.5;Y
2002-03-01 06:00:01;2002-04-01 06:00:00;2002-03;84.2;Y
2002-04-01 06:00:01;2002-05-01 06:00:00;2002-04;47.3;Y
2002-05-01 06:00:01;2002-06-01 06:00:00;2002-05;66.3;Y
2002-06-01 06:00:01;2002-07-01 06:00:00;2002-06;110.8;Y
2002-07-01 06:00:01;2002-08-01 06:00:00;2002-07;91.7;Y
2002-08-01 06:00:01;2002-09-01 06:00:00;2002-08;18.1;Y
2002-09-01 06:00:01;2002-10-01 06:00:00;2002-09;12.8;Y
2002-10-01 06:00:01;2002-11-01 06:00:00;2002-10;53.9;Y
2002-11-01 06:00:01;2002-12-01 06:00:00;2002-11;86.0;Y
2002-12-01 06:00:01;2003-01-01 06:00:00;2002-12;15.4;Y
2003-01-01 06:00:01;2003-02-01 06:00:00;2003-01;57.7;Y
