Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Vingåker D;95030;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1970-06-01 00:00:00;1972-05-31 23:59:59;48.0;59.0667;15.9667
2015-12-01 00:00:00;2018-05-01 15:00:00;37.4;59.01986;15.98097
2007-07-01 00:00:00;2015-11-27 23:59:59;67.0;59.0427;15.9145
1966-09-01 00:00:00;1969-01-31 23:59:59;45.0;59.05;15.9667
1972-08-01 00:00:00;1995-08-01 23:59:59;60.0;59.0782;15.8163

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1966-08-01 06:00:01;1966-09-01 06:00:00;1966-08;26.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1966-09-01 06:00:01;1966-10-01 06:00:00;1966-09;62.4;Y;;Tidsperiod (fr.o.m.) = 1966-09-01 00:00:00 (UTC)
1966-10-01 06:00:01;1966-11-01 06:00:00;1966-10;54.1;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1966-11-01 06:00:01;1966-12-01 06:00:00;1966-11;59.5;Y;;Värdet är summerat över = 1 månad
1966-12-01 06:00:01;1967-01-01 06:00:00;1966-12;89.7;Y;;
1967-01-01 06:00:01;1967-02-01 06:00:00;1967-01;60.2;Y;;Kvalitetskoderna:
1967-02-01 06:00:01;1967-03-01 06:00:00;1967-02;56.2;Y;;Grön (G) = Kontrollerade och godkända värden.
1967-03-01 06:00:01;1967-04-01 06:00:00;1967-03;34.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1967-04-01 06:00:01;1967-05-01 06:00:00;1967-04;39.3;Y;;
1967-05-01 06:00:01;1967-06-01 06:00:00;1967-05;72.4;Y;;Orsaker till saknade data:
1967-06-01 06:00:01;1967-07-01 06:00:00;1967-06;36.2;Y;;  stationen eller givaren har varit ur funktion.
1967-07-01 06:00:01;1967-08-01 06:00:00;1967-07;70.8;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1967-08-01 06:00:01;1967-09-01 06:00:00;1967-08;79.2;Y
1967-09-01 06:00:01;1967-10-01 06:00:00;1967-09;119.7;Y
1967-10-01 06:00:01;1967-11-01 06:00:00;1967-10;112.6;Y
1967-11-01 06:00:01;1967-12-01 06:00:00;1967-11;41.8;Y
1967-12-01 06:00:01;1968-01-01 06:00:00;1967-12;43.8;Y
