Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Asker D;95100;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1994-05-01 00:00:00;2018-05-01 15:00:00;40.0;59.1594;15.4673

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;38.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;16.5;Y;;Tidsperiod (fr.o.m.) = 1994-05-01 00:00:00 (UTC)
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;39.6;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;24.7;Y;;Värdet är summerat över = 1 månad
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;88.9;Y;;
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;150.0;Y;;Kvalitetskoderna:
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;25.1;Y;;Grön (G) = Kontrollerade och godkända värden.
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;25.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;56.7;Y;;
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;48.7;Y;;Orsaker till saknade data:
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;38.6;Y;;  stationen eller givaren har varit ur funktion.
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;28.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;67.4;Y
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;58.8;Y
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;55.9;Y
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;73.1;Y
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;25.6;Y
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;127.9;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;19.1;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;40.8;Y
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;13.3;Y
