Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Örebro D;95160;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2007-12-01 00:00:00;2018-05-01 15:00:00;31.0;59.2584;15.258600000000001
1988-05-01 00:00:00;2005-07-01 23:59:59;35.0;59.278200000000005;15.1574
1971-11-01 00:00:00;1988-04-01 06:00:00;31.0;59.244800000000005;15.285400000000001
1961-02-01 00:00:00;1971-10-19 23:59:59;36.0;59.244800000000005;15.285400000000001

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1964-05-01 06:00:01;1964-06-01 06:00:00;1964-05;34.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1964-06-01 06:00:01;1964-07-01 06:00:00;1964-06;50.9;Y;;Tidsperiod (fr.o.m.) = 1961-02-01 00:00:00 (UTC)
1964-07-01 06:00:01;1964-08-01 06:00:00;1964-07;99.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1964-08-01 06:00:01;1964-09-01 06:00:00;1964-08;36.1;Y;;Värdet är summerat över = 1 månad
1964-09-01 06:00:01;1964-10-01 06:00:00;1964-09;77.9;Y;;
1964-10-01 06:00:01;1964-11-01 06:00:00;1964-10;88.2;Y;;Kvalitetskoderna:
1964-11-01 06:00:01;1964-12-01 06:00:00;1964-11;41.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1964-12-01 06:00:01;1965-01-01 06:00:00;1964-12;38.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1965-01-01 06:00:01;1965-02-01 06:00:00;1965-01;57.8;Y;;
1965-02-01 06:00:01;1965-03-01 06:00:00;1965-02;24.7;Y;;Orsaker till saknade data:
1965-03-01 06:00:01;1965-04-01 06:00:00;1965-03;5.5;Y;;  stationen eller givaren har varit ur funktion.
1965-04-01 06:00:01;1965-05-01 06:00:00;1965-04;37.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1965-05-01 06:00:01;1965-06-01 06:00:00;1965-05;8.6;Y
1965-06-01 06:00:01;1965-07-01 06:00:00;1965-06;58.0;Y
1965-07-01 06:00:01;1965-08-01 06:00:00;1965-07;134.6;Y
1965-08-01 06:00:01;1965-09-01 06:00:00;1965-08;32.0;Y
1965-09-01 06:00:01;1965-10-01 06:00:00;1965-09;138.8;Y
1965-10-01 06:00:01;1965-11-01 06:00:00;1965-10;14.6;Y
1965-11-01 06:00:01;1965-12-01 06:00:00;1965-11;40.7;Y
1965-12-01 06:00:01;1966-01-01 06:00:00;1965-12;72.0;Y
1966-01-01 06:00:01;1966-02-01 06:00:00;1966-01;41.2;Y
1966-02-01 06:00:01;1966-03-01 06:00:00;1966-02;81.7;Y
1966-03-01 06:00:01;1966-04-01 06:00:00;1966-03;47.0;Y
1966-04-01 06:00:01;1966-05-01 06:00:00;1966-04;22.3;Y
1966-05-01 06:00:01;1966-06-01 06:00:00;1966-05;36.8;Y
1966-06-01 06:00:01;1966-07-01 06:00:00;1966-06;30.6;Y
1966-07-01 06:00:01;1966-08-01 06:00:00;1966-07;67.3;Y
1966-08-01 06:00:01;1966-09-01 06:00:00;1966-08;57.4;Y
1966-09-01 06:00:01;1966-10-01 06:00:00;1966-09;59.5;Y
1966-10-01 06:00:01;1966-11-01 06:00:00;1966-10;81.6;Y
1966-11-01 06:00:01;1966-12-01 06:00:00;1966-11;45.7;Y
1966-12-01 06:00:01;1967-01-01 06:00:00;1966-12;74.8;Y
1967-01-01 06:00:01;1967-02-01 06:00:00;1967-01;44.1;Y
1967-02-01 06:00:01;1967-03-01 06:00:00;1967-02;43.5;Y
1967-03-01 06:00:01;1967-04-01 06:00:00;1967-03;33.6;Y
1967-04-01 06:00:01;1967-05-01 06:00:00;1967-04;43.9;Y
1967-05-01 06:00:01;1967-06-01 06:00:00;1967-05;68.0;Y
1967-06-01 06:00:01;1967-07-01 06:00:00;1967-06;33.1;Y
1967-07-01 06:00:01;1967-08-01 06:00:00;1967-07;67.9;Y
1967-08-01 06:00:01;1967-09-01 06:00:00;1967-08;114.9;Y
1967-09-01 06:00:01;1967-10-01 06:00:00;1967-09;106.2;Y
1967-10-01 06:00:01;1967-11-01 06:00:00;1967-10;96.4;Y
1967-11-01 06:00:01;1967-12-01 06:00:00;1967-11;31.2;Y
1967-12-01 06:00:01;1968-01-01 06:00:00;1967-12;35.1;Y
1968-01-01 06:00:01;1968-02-01 06:00:00;1968-01;31.4;Y
1968-02-01 06:00:01;1968-03-01 06:00:00;1968-02;23.5;Y
1968-03-01 06:00:01;1968-04-01 06:00:00;1968-03;28.8;Y
