Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Nora D;95300;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2009-06-01 00:00:00;2018-05-01 15:00:00;97.0;59.5059;15.0347

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;33.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;84.9;Y;;Tidsperiod (fr.o.m.) = 2009-06-01 00:00:00 (UTC)
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;194.7;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;57.2;Y;;Värdet är summerat över = 1 månad
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;54.4;Y;;
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;68.8;Y;;Kvalitetskoderna:
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;121.7;Y;;Grön (G) = Kontrollerade och godkända värden.
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;70.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;22.9;Y;;
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;70.5;Y;;Orsaker till saknade data:
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;28.4;Y;;  stationen eller givaren har varit ur funktion.
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;20.8;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;93.0;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;40.5;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;148.6;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;77.0;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;51.3;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;24.7;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;83.5;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;30.6;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;56.1;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;35.8;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;39.7;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;16.6;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;49.7;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;93.2;Y
