Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Riddarhyttan;95490;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1987-07-01 00:00:00;2018-04-30 23:59:59;155.0;59.8089;15.5391
1936-02-01 00:00:00;1984-07-01 23:59:59;155.0;59.8085;15.5555

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1936-01-01 07:00:01;1936-02-01 07:00:00;1936-01;107.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1936-02-01 07:00:01;1936-03-01 07:00:00;1936-02;18.0;G;;Tidsperiod (fr.o.m.) = 1936-02-01 00:00:00 (UTC)
1936-03-01 07:00:01;1936-04-01 07:00:00;1936-03;12.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1936-04-01 07:00:01;1936-05-01 07:00:00;1936-04;58.0;G;;Värdet är summerat över = 1 månad
1936-05-01 07:00:01;1936-06-01 07:00:00;1936-05;76.0;G;;
1936-06-01 07:00:01;1936-07-01 07:00:00;1936-06;34.0;G;;Kvalitetskoderna:
1936-07-01 07:00:01;1936-08-01 07:00:00;1936-07;79.0;G;;Grön (G) = Kontrollerade och godkända värden.
1936-08-01 07:00:01;1936-09-01 07:00:00;1936-08;112.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1936-09-01 07:00:01;1936-10-01 07:00:00;1936-09;80.0;G;;
1936-10-01 07:00:01;1936-11-01 07:00:00;1936-10;48.0;G;;Orsaker till saknade data:
1936-11-01 07:00:01;1936-12-01 07:00:00;1936-11;76.0;G;;  stationen eller givaren har varit ur funktion.
1936-12-01 07:00:01;1937-01-01 07:00:00;1936-12;31.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1937-01-01 07:00:01;1937-02-01 07:00:00;1937-01;20.0;G
1937-02-01 07:00:01;1937-03-01 07:00:00;1937-02;87.0;G
1937-03-01 07:00:01;1937-04-01 07:00:00;1937-03;60.0;G
