Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kopparberg D;95520;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2009-06-01 00:00:00;2018-05-01 15:00:00;146.0;59.8597;15.0479
1976-11-01 00:00:00;2007-09-01 23:59:59;150.0;59.8672;15.024

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;29.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;67.9;Y;;Tidsperiod (fr.o.m.) = 1976-11-01 00:00:00 (UTC)
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;109.1;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;108.7;Y;;Värdet är summerat över = 1 månad
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;25.6;Y;;
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;44.4;Y;;Kvalitetskoderna:
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;90.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;85.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;95.5;Y;;
1977-07-01 06:00:01;1977-08-01 06:00:00;1977-07;105.3;Y;;Orsaker till saknade data:
1977-08-01 06:00:01;1977-09-01 06:00:00;1977-08;36.1;Y;;  stationen eller givaren har varit ur funktion.
1977-09-01 06:00:01;1977-10-01 06:00:00;1977-09;47.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1977-10-01 06:00:01;1977-11-01 06:00:00;1977-10;55.0;Y
1977-11-01 06:00:01;1977-12-01 06:00:00;1977-11;112.0;Y
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;46.6;Y
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;40.3;Y
1978-02-01 06:00:01;1978-03-01 06:00:00;1978-02;26.2;Y
1978-03-01 06:00:01;1978-04-01 06:00:00;1978-03;67.7;Y
1978-04-01 06:00:01;1978-05-01 06:00:00;1978-04;11.8;Y
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;10.6;Y
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;72.2;Y
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;46.1;Y
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;67.0;Y
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;92.3;Y
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;15.3;Y
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;44.8;Y
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;7.7;Y
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;46.2;Y
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;18.8;Y
1979-03-01 06:00:01;1979-04-01 06:00:00;1979-03;60.1;Y
1979-04-01 06:00:01;1979-05-01 06:00:00;1979-04;55.0;Y
1979-05-01 06:00:01;1979-06-01 06:00:00;1979-05;53.9;Y
1979-06-01 06:00:01;1979-07-01 06:00:00;1979-06;43.3;Y
1979-07-01 06:00:01;1979-08-01 06:00:00;1979-07;96.8;Y
1979-08-01 06:00:01;1979-09-01 06:00:00;1979-08;117.5;Y
1979-09-01 06:00:01;1979-10-01 06:00:00;1979-09;64.0;Y
1979-10-01 06:00:01;1979-11-01 06:00:00;1979-10;40.6;Y
1979-11-01 06:00:01;1979-12-01 06:00:00;1979-11;139.7;Y
1979-12-01 06:00:01;1980-01-01 06:00:00;1979-12;57.7;Y
1980-01-01 06:00:01;1980-02-01 06:00:00;1980-01;10.7;Y
1980-02-01 06:00:01;1980-03-01 06:00:00;1980-02;15.9;Y
1980-03-01 06:00:01;1980-04-01 06:00:00;1980-03;23.0;Y
1980-04-01 06:00:01;1980-05-01 06:00:00;1980-04;24.0;Y
1980-05-01 06:00:01;1980-06-01 06:00:00;1980-05;33.4;Y
1980-06-01 06:00:01;1980-07-01 06:00:00;1980-06;115.5;Y
1980-07-01 06:00:01;1980-08-01 06:00:00;1980-07;37.7;Y
1980-08-01 06:00:01;1980-09-01 06:00:00;1980-08;76.7;Y
1980-09-01 06:00:01;1980-10-01 06:00:00;1980-09;94.4;Y
1980-10-01 06:00:01;1980-11-01 06:00:00;1980-10;113.1;Y
1980-11-01 06:00:01;1980-12-01 06:00:00;1980-11;57.3;Y
1980-12-01 06:00:01;1981-01-01 06:00:00;1980-12;48.7;Y
1981-01-01 06:00:01;1981-02-01 06:00:00;1981-01;24.0;Y
1981-02-01 06:00:01;1981-03-01 06:00:00;1981-02;26.9;Y
1981-03-01 06:00:01;1981-04-01 06:00:00;1981-03;61.1;Y
1981-04-01 06:00:01;1981-05-01 06:00:00;1981-04;15.0;Y
1981-05-01 06:00:01;1981-06-01 06:00:00;1981-05;68.7;Y
1981-06-01 06:00:01;1981-07-01 06:00:00;1981-06;112.4;Y
1981-07-01 06:00:01;1981-08-01 06:00:00;1981-07;64.4;Y
1981-08-01 06:00:01;1981-09-01 06:00:00;1981-08;41.5;Y
1981-09-01 06:00:01;1981-10-01 06:00:00;1981-09;33.1;Y
1981-10-01 06:00:01;1981-11-01 06:00:00;1981-10;108.5;Y
1981-11-01 06:00:01;1981-12-01 06:00:00;1981-11;115.5;Y
1981-12-01 06:00:01;1982-01-01 06:00:00;1981-12;42.0;Y
1982-01-01 06:00:01;1982-02-01 06:00:00;1982-01;30.0;Y
1982-02-01 06:00:01;1982-03-01 06:00:00;1982-02;28.8;Y
1982-03-01 06:00:01;1982-04-01 06:00:00;1982-03;63.5;Y
1982-04-01 06:00:01;1982-05-01 06:00:00;1982-04;47.8;Y
1982-05-01 06:00:01;1982-06-01 06:00:00;1982-05;59.5;Y
1982-06-01 06:00:01;1982-07-01 06:00:00;1982-06;48.2;Y
1982-07-01 06:00:01;1982-08-01 06:00:00;1982-07;58.6;Y
1982-08-01 06:00:01;1982-09-01 06:00:00;1982-08;74.8;Y
