Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kloten;95530;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1931-02-01 00:00:00;2018-03-31 23:59:59;285.0;59.8707;15.2544

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1931-01-01 07:00:01;1931-02-01 07:00:00;1931-01;85.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1931-02-01 07:00:01;1931-03-01 07:00:00;1931-02;54.0;G;;Tidsperiod (fr.o.m.) = 1931-02-01 00:00:00 (UTC)
1931-03-01 07:00:01;1931-04-01 07:00:00;1931-03;20.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1931-04-01 07:00:01;1931-05-01 07:00:00;1931-04;60.0;G;;Värdet är summerat över = 1 månad
1931-05-01 07:00:01;1931-06-01 07:00:00;1931-05;82.0;G;;
1931-06-01 07:00:01;1931-07-01 07:00:00;1931-06;24.0;G;;Kvalitetskoderna:
1931-07-01 07:00:01;1931-08-01 07:00:00;1931-07;139.0;G;;Grön (G) = Kontrollerade och godkända värden.
1931-08-01 07:00:01;1931-09-01 07:00:00;1931-08;104.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1931-09-01 07:00:01;1931-10-01 07:00:00;1931-09;35.0;G;;
1931-10-01 07:00:01;1931-11-01 07:00:00;1931-10;41.0;G;;Orsaker till saknade data:
1931-11-01 07:00:01;1931-12-01 07:00:00;1931-11;46.0;G;;  stationen eller givaren har varit ur funktion.
1931-12-01 07:00:01;1932-01-01 07:00:00;1931-12;60.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1932-01-01 07:00:01;1932-02-01 07:00:00;1932-01;35.0;G
1932-02-01 07:00:01;1932-03-01 07:00:00;1932-02;11.0;G
1932-03-01 07:00:01;1932-04-01 07:00:00;1932-03;33.0;G
1932-04-01 07:00:01;1932-05-01 07:00:00;1932-04;45.0;G
1932-05-01 07:00:01;1932-06-01 07:00:00;1932-05;86.0;G
1932-06-01 07:00:01;1932-07-01 07:00:00;1932-06;60.0;G
1932-07-01 07:00:01;1932-08-01 07:00:00;1932-07;70.0;G
1932-08-01 07:00:01;1932-09-01 07:00:00;1932-08;36.0;G
1932-09-01 07:00:01;1932-10-01 07:00:00;1932-09;72.0;G
1932-10-01 07:00:01;1932-11-01 07:00:00;1932-10;124.0;G
1932-11-01 07:00:01;1932-12-01 07:00:00;1932-11;108.0;G
1932-12-01 07:00:01;1933-01-01 07:00:00;1932-12;18.0;G
1933-01-01 07:00:01;1933-02-01 07:00:00;1933-01;42.0;G
1933-02-01 07:00:01;1933-03-01 07:00:00;1933-02;35.0;G
1933-03-01 07:00:01;1933-04-01 07:00:00;1933-03;20.0;G
1933-04-01 07:00:01;1933-05-01 07:00:00;1933-04;13.0;G
1933-05-01 07:00:01;1933-06-01 07:00:00;1933-05;25.0;G
1933-06-01 07:00:01;1933-07-01 07:00:00;1933-06;22.0;G
1933-07-01 07:00:01;1933-08-01 07:00:00;1933-07;54.0;G
1933-08-01 07:00:01;1933-09-01 07:00:00;1933-08;43.0;G
1933-09-01 07:00:01;1933-10-01 07:00:00;1933-09;85.0;G
1933-10-01 07:00:01;1933-11-01 07:00:00;1933-10;92.0;G
1933-11-01 07:00:01;1933-12-01 07:00:00;1933-11;17.0;G
1933-12-01 07:00:01;1934-01-01 07:00:00;1933-12;7.0;G
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;53.9;Y
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;103.0;Y
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;106.3;Y
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;53.6;Y
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;11.8;Y
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;61.4;Y
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;18.1;Y
1979-03-01 06:00:01;1979-04-01 06:00:00;1979-03;65.4;Y
1979-04-01 06:00:01;1979-05-01 06:00:00;1979-04;69.8;Y
1979-05-01 06:00:01;1979-06-01 06:00:00;1979-05;48.5;Y
1979-06-01 06:00:01;1979-07-01 06:00:00;1979-06;40.7;Y
1979-07-01 06:00:01;1979-08-01 06:00:00;1979-07;91.8;Y
1979-08-01 06:00:01;1979-09-01 06:00:00;1979-08;142.3;Y
