Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kloten A;95540;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2009-09-01 00:00:00;2018-05-01 15:00:00;289.0;59.8709;15.2553

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;81.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;62.0;Y;;Tidsperiod (fr.o.m.) = 2009-09-01 00:00:00 (UTC)
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;75.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;129.2;Y;;Värdet är summerat över = 1 månad
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;52.2;Y;;
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;19.3;Y;;Kvalitetskoderna:
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;48.2;Y;;Grön (G) = Kontrollerade och godkända värden.
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;39.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;36.5;Y;;
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;71.6;Y;;Orsaker till saknade data:
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;42.4;Y;;  stationen eller givaren har varit ur funktion.
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;128.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
