Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Frändesta;96010;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1992-10-01 00:00:00;2018-04-30 23:59:59;30.0;59.0115;16.8803
1953-02-01 00:00:00;1992-09-30 23:59:59;30.0;59.0105;16.8843

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1953-01-01 06:00:01;1953-02-01 06:00:00;1953-01;22.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1953-02-01 06:00:01;1953-03-01 06:00:00;1953-02;41.4;Y;;Tidsperiod (fr.o.m.) = 1953-02-01 00:00:00 (UTC)
1953-03-01 06:00:01;1953-04-01 06:00:00;1953-03;5.6;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1953-04-01 06:00:01;1953-05-01 06:00:00;1953-04;16.6;Y;;Värdet är summerat över = 1 månad
1953-05-01 06:00:01;1953-06-01 06:00:00;1953-05;52.5;Y;;
1953-06-01 06:00:01;1953-07-01 06:00:00;1953-06;54.1;Y;;Kvalitetskoderna:
1953-07-01 06:00:01;1953-08-01 06:00:00;1953-07;97.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1953-08-01 06:00:01;1953-09-01 06:00:00;1953-08;63.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1953-09-01 06:00:01;1953-10-01 06:00:00;1953-09;92.7;Y;;
1953-10-01 06:00:01;1953-11-01 06:00:00;1953-10;32.1;Y;;Orsaker till saknade data:
1953-11-01 06:00:01;1953-12-01 06:00:00;1953-11;13.8;Y;;  stationen eller givaren har varit ur funktion.
1953-12-01 06:00:01;1954-01-01 06:00:00;1953-12;13.3;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1954-01-01 06:00:01;1954-02-01 06:00:00;1954-01;51.3;Y
1954-02-01 06:00:01;1954-03-01 06:00:00;1954-02;17.0;G
1954-03-01 06:00:01;1954-04-01 06:00:00;1954-03;36.6;Y
1954-04-01 06:00:01;1954-05-01 06:00:00;1954-04;11.0;G
1954-05-01 06:00:01;1954-06-01 06:00:00;1954-05;27.6;Y
1954-06-01 06:00:01;1954-07-01 06:00:00;1954-06;62.1;Y
1954-07-01 06:00:01;1954-08-01 06:00:00;1954-07;61.9;Y
1954-08-01 06:00:01;1954-09-01 06:00:00;1954-08;96.5;Y
1954-09-01 06:00:01;1954-10-01 06:00:00;1954-09;61.4;Y
1954-10-01 06:00:01;1954-11-01 06:00:00;1954-10;51.9;Y
1954-11-01 06:00:01;1954-12-01 06:00:00;1954-11;70.9;Y
1954-12-01 06:00:01;1955-01-01 06:00:00;1954-12;64.2;Y
1955-01-01 06:00:01;1955-02-01 06:00:00;1955-01;17.6;Y
1955-02-01 06:00:01;1955-03-01 06:00:00;1955-02;41.6;Y
1955-03-01 06:00:01;1955-04-01 06:00:00;1955-03;25.3;Y
1955-04-01 06:00:01;1955-05-01 06:00:00;1955-04;61.3;Y
1955-05-01 06:00:01;1955-06-01 06:00:00;1955-05;47.4;Y
1955-06-01 06:00:01;1955-07-01 06:00:00;1955-06;19.8;Y
1955-08-01 06:00:01;1955-09-01 06:00:00;1955-08;7.4;Y
1955-09-01 06:00:01;1955-10-01 06:00:00;1955-09;46.1;Y
1955-10-01 06:00:01;1955-11-01 06:00:00;1955-10;46.7;Y
1955-12-01 06:00:01;1956-01-01 06:00:00;1955-12;108.1;Y
1956-01-01 06:00:01;1956-02-01 06:00:00;1956-01;33.4;Y
1956-02-01 06:00:01;1956-03-01 06:00:00;1956-02;21.2;Y
1956-03-01 06:00:01;1956-04-01 06:00:00;1956-03;2.4;Y
1956-04-01 06:00:01;1956-05-01 06:00:00;1956-04;21.3;Y
1956-05-01 06:00:01;1956-06-01 06:00:00;1956-05;11.5;Y
1956-06-01 06:00:01;1956-07-01 06:00:00;1956-06;85.1;Y
1956-07-01 06:00:01;1956-08-01 06:00:00;1956-07;60.6;Y
1956-08-01 06:00:01;1956-09-01 06:00:00;1956-08;101.1;Y
1956-09-01 06:00:01;1956-10-01 06:00:00;1956-09;42.7;Y
1956-10-01 06:00:01;1956-11-01 06:00:00;1956-10;17.4;Y
1956-11-01 06:00:01;1956-12-01 06:00:00;1956-11;29.3;Y
1956-12-01 06:00:01;1957-01-01 06:00:00;1956-12;20.9;Y
1957-01-01 06:00:01;1957-02-01 06:00:00;1957-01;31.8;Y
1957-02-01 06:00:01;1957-03-01 06:00:00;1957-02;66.4;Y
1957-03-01 06:00:01;1957-04-01 06:00:00;1957-03;39.1;Y
1957-04-01 06:00:01;1957-05-01 06:00:00;1957-04;15.4;Y
1957-05-01 06:00:01;1957-06-01 06:00:00;1957-05;21.5;Y
1957-06-01 06:00:01;1957-07-01 06:00:00;1957-06;65.9;Y
1957-07-01 06:00:01;1957-08-01 06:00:00;1957-07;87.4;Y
1957-08-01 06:00:01;1957-09-01 06:00:00;1957-08;81.8;Y
1957-09-01 06:00:01;1957-10-01 06:00:00;1957-09;99.7;Y
1957-10-01 06:00:01;1957-11-01 06:00:00;1957-10;33.0;G
1957-11-01 06:00:01;1957-12-01 06:00:00;1957-11;25.6;Y
1957-12-01 06:00:01;1958-01-01 06:00:00;1957-12;17.3;Y
1958-01-01 06:00:01;1958-02-01 06:00:00;1958-01;12.4;Y
1958-02-01 06:00:01;1958-03-01 06:00:00;1958-02;37.4;Y
1958-03-01 06:00:01;1958-04-01 06:00:00;1958-03;18.2;Y
