Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hälleforsnäs D;96090;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1964-08-01 00:00:00;1965-10-01 23:59:00;90.0;59.1525;16.4915
2011-05-01 00:00:00;2018-05-01 15:00:00;76.0;59.1567;16.5092

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1964-07-01 06:00:01;1964-08-01 06:00:00;1964-07;66.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1964-08-01 06:00:01;1964-09-01 06:00:00;1964-08;47.6;Y;;Tidsperiod (fr.o.m.) = 1964-08-01 00:00:00 (UTC)
1964-09-01 06:00:01;1964-10-01 06:00:00;1964-09;65.5;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1964-10-01 06:00:01;1964-11-01 06:00:00;1964-10;113.0;Y;;Värdet är summerat över = 1 månad
1964-11-01 06:00:01;1964-12-01 06:00:00;1964-11;50.8;Y;;
1965-09-01 06:00:01;1965-10-01 06:00:00;1965-09;83.4;Y;;Kvalitetskoderna:
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;23.0;Y;;Grön (G) = Kontrollerade och godkända värden.
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;51.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;65.2;Y;;
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;74.0;Y;;Orsaker till saknade data:
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;124.5;Y;;  stationen eller givaren har varit ur funktion.
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;70.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;47.7;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;15.3;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;66.1;Y
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;58.8;Y
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;40.6;Y
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;9.1;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;63.5;Y
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;38.0;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;160.6;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;54.6;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;116.8;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;85.4;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;74.9;Y
2012-11-01 06:00:01;2012-12-01 06:00:00;2012-11;67.2;Y
2012-12-01 06:00:01;2013-01-01 06:00:00;2012-12;78.0;Y
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;23.9;Y
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;48.8;Y
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;1.9;Y
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;34.2;Y
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;62.0;Y
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;42.1;Y
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;57.5;Y
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;51.8;Y
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;23.9;Y
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;73.4;Y
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;48.9;Y
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;61.7;Y
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;81.9;Y
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;60.4;Y
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;37.3;Y
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;31.7;Y
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;53.9;Y
2014-06-01 06:00:01;2014-07-01 06:00:00;2014-06;55.8;Y
2014-07-01 06:00:01;2014-08-01 06:00:00;2014-07;23.2;Y
2014-08-01 06:00:01;2014-09-01 06:00:00;2014-08;93.1;Y
2014-09-01 06:00:01;2014-10-01 06:00:00;2014-09;63.8;Y
2014-10-01 06:00:01;2014-11-01 06:00:00;2014-10;64.7;Y
2014-11-01 06:00:01;2014-12-01 06:00:00;2014-11;46.9;Y
2014-12-01 06:00:01;2015-01-01 06:00:00;2014-12;41.5;Y
2015-01-01 06:00:01;2015-02-01 06:00:00;2015-01;97.2;Y
2015-02-01 06:00:01;2015-03-01 06:00:00;2015-02;26.7;Y
2015-03-01 06:00:01;2015-04-01 06:00:00;2015-03;60.9;Y
2015-04-01 06:00:01;2015-05-01 06:00:00;2015-04;7.6;Y
2015-05-01 06:00:01;2015-06-01 06:00:00;2015-05;96.5;Y
2015-06-01 06:00:01;2015-07-01 06:00:00;2015-06;37.0;Y
2015-07-01 06:00:01;2015-08-01 06:00:00;2015-07;111.3;Y
2015-08-01 06:00:01;2015-09-01 06:00:00;2015-08;33.0;Y
2015-09-01 06:00:01;2015-10-01 06:00:00;2015-09;115.7;Y
2015-10-01 06:00:01;2015-11-01 06:00:00;2015-10;1.5;Y
2015-11-01 06:00:01;2015-12-01 06:00:00;2015-11;88.4;Y
