Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Näshulta;96110;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1988-12-01 00:00:00;2018-04-30 23:59:59;50.0;59.1952;16.2795

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1988-11-01 06:00:01;1988-12-01 06:00:00;1988-11;32.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1988-12-01 06:00:01;1989-01-01 06:00:00;1988-12;55.6;Y;;Tidsperiod (fr.o.m.) = 1988-12-01 00:00:00 (UTC)
1989-01-01 06:00:01;1989-02-01 06:00:00;1989-01;5.2;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1989-02-01 06:00:01;1989-03-01 06:00:00;1989-02;35.0;Y;;Värdet är summerat över = 1 månad
1989-03-01 06:00:01;1989-04-01 06:00:00;1989-03;45.9;Y;;
1989-04-01 06:00:01;1989-05-01 06:00:00;1989-04;26.6;Y;;Kvalitetskoderna:
1989-05-01 06:00:01;1989-06-01 06:00:00;1989-05;49.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;29.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;35.0;Y;;
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;37.1;Y;;Orsaker till saknade data:
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;15.6;Y;;  stationen eller givaren har varit ur funktion.
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;62.8;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;28.3;Y
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;32.2;Y
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;53.6;Y
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;71.6;Y
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;24.2;Y
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;22.7;Y
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;18.7;Y
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;36.3;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;80.3;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;42.9;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;115.2;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;41.2;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;48.1;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;34.6;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;37.2;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;23.6;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;30.4;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;14.2;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;40.9;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;104.3;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;60.3;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;139.2;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;49.4;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;24.3;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;39.4;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;27.4;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;43.2;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;36.4;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;29.3;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;107.3;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;13.2;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;19.9;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;80.5;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;34.0;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;95.1;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;88.6;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;16.5;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;30.8;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;35.1;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;13.9;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;28.4;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;10.3;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;48.2;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;96.3;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;144.1;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;47.8;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;38.9;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;32.5;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;57.8;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;53.7;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;13.6;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;45.3;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;46.1;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;15.9;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;41.6;Y
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;17.9;Y
