Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Eskilstuna A;96190;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2008-02-01 00:00:00;2018-05-01 15:00:00;15.0;59.3832;16.4549

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;34.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;22.8;Y;;Tidsperiod (fr.o.m.) = 2008-02-01 00:00:00 (UTC)
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;30.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;37.9;Y;;Värdet är summerat över = 1 månad
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;35.1;Y;;
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;33.7;Y;;Kvalitetskoderna:
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;149.4;Y;;Grön (G) = Kontrollerade och godkända värden.
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;29.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;66.5;Y;;
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;49.6;Y;;Orsaker till saknade data:
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;49.6;Y;;  stationen eller givaren har varit ur funktion.
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;20.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;25.1;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;24.1;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;3.9;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;35.8;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;69.9;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;116.0;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;86.0;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;42.0;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;55.4;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;59.0;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;33.6;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;24.9;Y
