Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Eskilstuna;96230;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1879-05-01 00:00:00;1961-11-14 23:59:59;12.0;59.3867;16.4647
1985-02-01 00:00:00;2018-03-31 23:59:59;8.0;59.3867;16.4647
1961-12-01 00:00:00;1984-01-01 23:59:59;8.0;59.3867;16.4647

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1879-04-01 07:00:01;1879-05-01 07:00:00;1879-04;47.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1879-05-01 07:00:01;1879-06-01 07:00:00;1879-05;52.0;G;;Tidsperiod (fr.o.m.) = 1879-05-01 00:00:00 (UTC)
1879-06-01 07:00:01;1879-07-01 07:00:00;1879-06;57.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1879-07-01 07:00:01;1879-08-01 07:00:00;1879-07;119.0;G;;Värdet är summerat över = 1 månad
1879-08-01 07:00:01;1879-09-01 07:00:00;1879-08;16.0;G;;
1879-09-01 07:00:01;1879-10-01 07:00:00;1879-09;55.0;G;;Kvalitetskoderna:
1879-10-01 07:00:01;1879-11-01 07:00:00;1879-10;67.0;G;;Grön (G) = Kontrollerade och godkända värden.
1879-11-01 07:00:01;1879-12-01 07:00:00;1879-11;30.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1879-12-01 07:00:01;1880-01-01 07:00:00;1879-12;12.0;G;;
1880-01-01 07:00:01;1880-02-01 07:00:00;1880-01;4.0;G;;Orsaker till saknade data:
1880-02-01 07:00:01;1880-03-01 07:00:00;1880-02;33.0;G;;  stationen eller givaren har varit ur funktion.
1880-03-01 07:00:01;1880-04-01 07:00:00;1880-03;11.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1880-04-01 07:00:01;1880-05-01 07:00:00;1880-04;28.0;G
1880-05-01 07:00:01;1880-06-01 07:00:00;1880-05;25.0;G
1880-06-01 07:00:01;1880-07-01 07:00:00;1880-06;67.0;G
1880-07-01 07:00:01;1880-08-01 07:00:00;1880-07;26.0;G
1880-08-01 07:00:01;1880-09-01 07:00:00;1880-08;20.0;G
1880-09-01 07:00:01;1880-10-01 07:00:00;1880-09;29.0;G
1880-10-01 07:00:01;1880-11-01 07:00:00;1880-10;65.0;G
1880-11-01 07:00:01;1880-12-01 07:00:00;1880-11;38.0;G
1880-12-01 07:00:01;1881-01-01 07:00:00;1880-12;49.0;G
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;13.0;G
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;27.0;G
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;15.0;G
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;18.0;G
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;68.0;G
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;35.0;G
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;83.0;G
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;77.0;G
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;94.0;G
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;28.0;G
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;22.0;G
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;15.0;G
1893-02-01 07:00:01;1893-03-01 07:00:00;1893-02;43.0;G
1893-03-01 07:00:01;1893-04-01 07:00:00;1893-03;31.0;G
1893-04-01 07:00:01;1893-05-01 07:00:00;1893-04;6.0;G
1893-05-01 07:00:01;1893-06-01 07:00:00;1893-05;16.0;G
1893-06-01 07:00:01;1893-07-01 07:00:00;1893-06;51.0;G
1893-07-01 07:00:01;1893-08-01 07:00:00;1893-07;57.0;G
1893-08-01 07:00:01;1893-09-01 07:00:00;1893-08;86.0;G
1893-09-01 07:00:01;1893-10-01 07:00:00;1893-09;58.0;G
1898-10-01 07:00:01;1898-11-01 07:00:00;1898-10;12.0;G
1898-11-01 07:00:01;1898-12-01 07:00:00;1898-11;49.0;G
1898-12-01 07:00:01;1899-01-01 07:00:00;1898-12;82.0;G
1899-01-01 07:00:01;1899-02-01 07:00:00;1899-01;91.0;G
1899-02-01 07:00:01;1899-03-01 07:00:00;1899-02;28.0;G
1899-03-01 07:00:01;1899-04-01 07:00:00;1899-03;40.0;G
1899-04-01 07:00:01;1899-05-01 07:00:00;1899-04;61.0;G
1899-05-01 07:00:01;1899-06-01 07:00:00;1899-05;41.0;G
1899-06-01 07:00:01;1899-07-01 07:00:00;1899-06;56.0;G
1899-07-01 07:00:01;1899-08-01 07:00:00;1899-07;19.0;G
1899-08-01 07:00:01;1899-09-01 07:00:00;1899-08;24.0;G
1899-09-01 07:00:01;1899-10-01 07:00:00;1899-09;81.0;G
1899-10-01 07:00:01;1899-11-01 07:00:00;1899-10;34.0;G
1899-11-01 07:00:01;1899-12-01 07:00:00;1899-11;27.0;G
1899-12-01 07:00:01;1900-01-01 07:00:00;1899-12;45.0;G
1900-01-01 07:00:01;1900-02-01 07:00:00;1900-01;49.0;G
1900-02-01 07:00:01;1900-03-01 07:00:00;1900-02;80.0;G
1900-03-01 07:00:01;1900-04-01 07:00:00;1900-03;20.0;G
1900-04-01 07:00:01;1900-05-01 07:00:00;1900-04;35.0;G
1900-05-01 07:00:01;1900-06-01 07:00:00;1900-05;43.0;G
1900-06-01 07:00:01;1900-07-01 07:00:00;1900-06;20.0;G
1900-07-01 07:00:01;1900-08-01 07:00:00;1900-07;54.0;G
1900-08-01 07:00:01;1900-09-01 07:00:00;1900-08;47.0;G
1900-09-01 07:00:01;1900-10-01 07:00:00;1900-09;31.0;G
1900-10-01 07:00:01;1900-11-01 07:00:00;1900-10;77.0;G
1900-11-01 07:00:01;1900-12-01 07:00:00;1900-11;62.0;G
1900-12-01 07:00:01;1901-01-01 07:00:00;1900-12;61.0;G
1938-01-01 07:00:01;1938-02-01 07:00:00;1938-01;35.0;G
1938-02-01 07:00:01;1938-03-01 07:00:00;1938-02;15.0;G
1938-03-01 07:00:01;1938-04-01 07:00:00;1938-03;30.0;G
1938-04-01 07:00:01;1938-05-01 07:00:00;1938-04;18.0;G
1938-05-01 07:00:01;1938-06-01 07:00:00;1938-05;45.0;G
1938-06-01 07:00:01;1938-07-01 07:00:00;1938-06;53.0;G
1938-07-01 07:00:01;1938-08-01 07:00:00;1938-07;111.0;G
1938-08-01 07:00:01;1938-09-01 07:00:00;1938-08;83.0;G
1938-09-01 07:00:01;1938-10-01 07:00:00;1938-09;59.0;G
1938-10-01 07:00:01;1938-11-01 07:00:00;1938-10;80.0;G
1938-11-01 07:00:01;1938-12-01 07:00:00;1938-11;31.0;G
1938-12-01 07:00:01;1939-01-01 07:00:00;1938-12;26.0;G
