Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Strängnäs-Vansö;96240;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1991-06-01 00:00:00;2014-02-02 05:59:59;15.0;59.3961;16.9398
2014-04-01 00:00:00;2018-05-01 15:00:00;15.0;59.3961;16.9398

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;61.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;116.6;Y;;Tidsperiod (fr.o.m.) = 1991-06-01 00:00:00 (UTC)
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;38.3;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;89.1;Y;;Värdet är summerat över = 1 månad
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;41.7;Y;;
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;23.5;Y;;Kvalitetskoderna:
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;29.7;Y;;Grön (G) = Kontrollerade och godkända värden.
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;21.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;26.5;Y;;
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;33.5;Y;;Orsaker till saknade data:
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;26.9;Y;;  stationen eller givaren har varit ur funktion.
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;82.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;24.8;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;23.7;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;91.4;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;82.6;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;30.8;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;80.8;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;76.0;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;14.6;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;26.5;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;22.1;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;12.1;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;20.1;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;20.5;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;72.0;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;86.2;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;95.6;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;25.7;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;48.7;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;18.4;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;50.9;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;35.7;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;6.8;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;34.8;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;47.0;Y
