Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Västerås;96350;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1999-01-01 00:00:00;2000-08-31 23:59:59;15.0;59.5976;16.6326
2003-10-01 00:00:00;2018-04-30 23:59:59;10.0;59.5977;16.6034
2000-09-01 00:00:00;2002-01-01 23:59:59;15.0;59.5955;16.4608
1970-06-01 00:00:00;1998-01-01 06:00:00;6.0;59.5888;16.6299
1950-02-01 00:00:00;1970-05-28 23:59:59;2.0;59.5888;16.6299

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1950-01-01 06:00:01;1950-02-01 06:00:00;1950-01;26.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1950-08-01 06:00:01;1950-09-01 06:00:00;1950-08;36.8;Y;;Tidsperiod (fr.o.m.) = 1950-02-01 00:00:00 (UTC)
1951-01-01 06:00:01;1951-02-01 06:00:00;1951-01;24.3;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1951-02-01 06:00:01;1951-03-01 06:00:00;1951-02;10.1;Y;;Värdet är summerat över = 1 månad
1951-03-01 06:00:01;1951-04-01 06:00:00;1951-03;17.1;Y;;
1951-04-01 06:00:01;1951-05-01 06:00:00;1951-04;33.8;Y;;Kvalitetskoderna:
1951-05-01 06:00:01;1951-06-01 06:00:00;1951-05;20.4;Y;;Grön (G) = Kontrollerade och godkända värden.
1951-06-01 06:00:01;1951-07-01 06:00:00;1951-06;37.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1951-07-01 06:00:01;1951-08-01 06:00:00;1951-07;33.4;Y;;
1951-08-01 06:00:01;1951-09-01 06:00:00;1951-08;201.3;Y;;Orsaker till saknade data:
1951-09-01 06:00:01;1951-10-01 06:00:00;1951-09;36.1;Y;;  stationen eller givaren har varit ur funktion.
1951-10-01 06:00:01;1951-11-01 06:00:00;1951-10;5.4;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
