Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Skultuna;96440;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1878-11-01 00:00:00;2018-04-30 23:59:59;40.0;59.7141;16.4362

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1878-10-01 07:00:01;1878-11-01 07:00:00;1878-10;64.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1878-11-01 07:00:01;1878-12-01 07:00:00;1878-11;44.0;G;;Tidsperiod (fr.o.m.) = 1878-11-01 00:00:00 (UTC)
1878-12-01 07:00:01;1879-01-01 07:00:00;1878-12;36.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1879-01-01 07:00:01;1879-02-01 07:00:00;1879-01;15.0;G;;Värdet är summerat över = 1 månad
1879-02-01 07:00:01;1879-03-01 07:00:00;1879-02;14.0;G;;
1879-03-01 07:00:01;1879-04-01 07:00:00;1879-03;8.0;G;;Kvalitetskoderna:
1879-04-01 07:00:01;1879-05-01 07:00:00;1879-04;28.0;G;;Grön (G) = Kontrollerade och godkända värden.
1879-05-01 07:00:01;1879-06-01 07:00:00;1879-05;69.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1879-06-01 07:00:01;1879-07-01 07:00:00;1879-06;62.0;G;;
1879-07-01 07:00:01;1879-08-01 07:00:00;1879-07;161.0;G;;Orsaker till saknade data:
1879-08-01 07:00:01;1879-09-01 07:00:00;1879-08;24.0;G;;  stationen eller givaren har varit ur funktion.
1879-09-01 07:00:01;1879-10-01 07:00:00;1879-09;77.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1879-10-01 07:00:01;1879-11-01 07:00:00;1879-10;61.0;G
1879-11-01 07:00:01;1879-12-01 07:00:00;1879-11;32.0;G
1879-12-01 07:00:01;1880-01-01 07:00:00;1879-12;13.0;G
1880-01-01 07:00:01;1880-02-01 07:00:00;1880-01;7.0;G
1880-02-01 07:00:01;1880-03-01 07:00:00;1880-02;26.0;G
1880-03-01 07:00:01;1880-04-01 07:00:00;1880-03;13.0;G
1880-04-01 07:00:01;1880-05-01 07:00:00;1880-04;36.0;G
1880-05-01 07:00:01;1880-06-01 07:00:00;1880-05;23.0;G
1880-06-01 07:00:01;1880-07-01 07:00:00;1880-06;25.0;G
