Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Gnesta;97030;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1979-08-01 00:00:00;2018-04-30 23:59:59;20.0;59.095;17.321
1964-02-01 06:00:00;1974-08-31 23:59:59;20.0;59.095;17.321

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1964-01-01 06:00:01;1964-02-01 06:00:00;1964-01;8.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1964-02-01 06:00:01;1964-03-01 06:00:00;1964-02;20.0;G;;Tidsperiod (fr.o.m.) = 1964-02-01 06:00:00 (UTC)
1964-03-01 06:00:01;1964-04-01 06:00:00;1964-03;0.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1964-04-01 06:00:01;1964-05-01 06:00:00;1964-04;15.0;G;;Värdet är summerat över = 1 månad
1964-05-01 06:00:01;1964-06-01 06:00:00;1964-05;5.7;Y;;
1964-06-01 06:00:01;1964-07-01 06:00:00;1964-06;48.0;Y;;Kvalitetskoderna:
1964-07-01 06:00:01;1964-08-01 06:00:00;1964-07;31.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1964-08-01 06:00:01;1964-09-01 06:00:00;1964-08;30.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1964-09-01 06:00:01;1964-10-01 06:00:00;1964-09;46.8;Y;;
1964-10-01 06:00:01;1964-11-01 06:00:00;1964-10;72.7;Y;;Orsaker till saknade data:
1964-11-01 06:00:01;1964-12-01 06:00:00;1964-11;50.1;Y;;  stationen eller givaren har varit ur funktion.
1964-12-01 06:00:01;1965-01-01 06:00:00;1964-12;69.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1965-01-01 06:00:01;1965-02-01 06:00:00;1965-01;65.7;Y
1965-02-01 06:00:01;1965-03-01 06:00:00;1965-02;21.5;Y
1965-03-01 06:00:01;1965-04-01 06:00:00;1965-03;1.6;Y
1965-04-01 06:00:01;1965-05-01 06:00:00;1965-04;25.6;Y
1965-05-01 06:00:01;1965-06-01 06:00:00;1965-05;4.9;Y
1965-06-01 06:00:01;1965-07-01 06:00:00;1965-06;54.9;Y
1965-07-01 06:00:01;1965-08-01 06:00:00;1965-07;120.5;Y
1965-08-01 06:00:01;1965-09-01 06:00:00;1965-08;50.8;Y
1965-09-01 06:00:01;1965-10-01 06:00:00;1965-09;65.2;Y
1965-10-01 06:00:01;1965-11-01 06:00:00;1965-10;20.1;Y
1965-11-01 06:00:01;1965-12-01 06:00:00;1965-11;36.6;Y
1965-12-01 06:00:01;1966-01-01 06:00:00;1965-12;99.8;Y
1966-01-01 06:00:01;1966-02-01 06:00:00;1966-01;38.5;Y
1966-02-01 06:00:01;1966-03-01 06:00:00;1966-02;48.5;Y
1966-03-01 06:00:01;1966-04-01 06:00:00;1966-03;42.5;Y
1966-04-01 06:00:01;1966-05-01 06:00:00;1966-04;43.5;Y
1966-05-01 06:00:01;1966-06-01 06:00:00;1966-05;15.7;Y
1966-06-01 06:00:01;1966-07-01 06:00:00;1966-06;37.5;Y
1966-07-01 06:00:01;1966-08-01 06:00:00;1966-07;40.6;Y
1966-08-01 06:00:01;1966-09-01 06:00:00;1966-08;43.7;Y
1966-09-01 06:00:01;1966-10-01 06:00:00;1966-09;18.2;Y
1966-10-01 06:00:01;1966-11-01 06:00:00;1966-10;31.5;Y
1966-11-01 06:00:01;1966-12-01 06:00:00;1966-11;67.7;Y
1966-12-01 06:00:01;1967-01-01 06:00:00;1966-12;139.8;Y
1967-01-01 06:00:01;1967-02-01 06:00:00;1967-01;42.3;Y
1967-02-01 06:00:01;1967-03-01 06:00:00;1967-02;71.5;Y
1967-03-01 06:00:01;1967-04-01 06:00:00;1967-03;19.2;Y
1967-04-01 06:00:01;1967-05-01 06:00:00;1967-04;31.4;Y
1967-05-01 06:00:01;1967-06-01 06:00:00;1967-05;58.7;Y
1967-06-01 06:00:01;1967-07-01 06:00:00;1967-06;25.4;Y
1967-07-01 06:00:01;1967-08-01 06:00:00;1967-07;34.9;Y
1967-08-01 06:00:01;1967-09-01 06:00:00;1967-08;80.4;Y
1967-09-01 06:00:01;1967-10-01 06:00:00;1967-09;123.4;Y
1967-10-01 06:00:01;1967-11-01 06:00:00;1967-10;74.1;Y
1967-11-01 06:00:01;1967-12-01 06:00:00;1967-11;56.7;Y
1967-12-01 06:00:01;1968-01-01 06:00:00;1967-12;42.9;Y
1968-01-01 06:00:01;1968-02-01 06:00:00;1968-01;41.6;Y
1968-02-01 06:00:01;1968-03-01 06:00:00;1968-02;16.8;Y
1968-03-01 06:00:01;1968-04-01 06:00:00;1968-03;14.5;Y
1968-04-01 06:00:01;1968-05-01 06:00:00;1968-04;32.4;Y
1968-05-01 06:00:01;1968-06-01 06:00:00;1968-05;80.5;Y
1968-06-01 06:00:01;1968-07-01 06:00:00;1968-06;36.0;Y
1968-07-01 06:00:01;1968-08-01 06:00:00;1968-07;85.6;Y
1968-08-01 06:00:01;1968-09-01 06:00:00;1968-08;32.2;Y
1968-09-01 06:00:01;1968-10-01 06:00:00;1968-09;39.6;Y
1968-10-01 06:00:01;1968-11-01 06:00:00;1968-10;101.1;Y
