Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Wiad;97070;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1961-02-01 00:00:00;2018-03-31 23:59:59;12.0;59.1116;17.7219

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1961-01-01 06:00:01;1961-02-01 06:00:00;1961-01;32.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1961-02-01 06:00:01;1961-03-01 06:00:00;1961-02;25.1;Y;;Tidsperiod (fr.o.m.) = 1961-02-01 00:00:00 (UTC)
1961-03-01 06:00:01;1961-04-01 06:00:00;1961-03;25.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1961-04-01 06:00:01;1961-05-01 06:00:00;1961-04;19.3;Y;;Värdet är summerat över = 1 månad
1961-05-01 06:00:01;1961-06-01 06:00:00;1961-05;71.3;Y;;
1961-06-01 06:00:01;1961-07-01 06:00:00;1961-06;82.0;Y;;Kvalitetskoderna:
1961-07-01 06:00:01;1961-08-01 06:00:00;1961-07;106.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1961-08-01 06:00:01;1961-09-01 06:00:00;1961-08;62.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1961-09-01 06:00:01;1961-10-01 06:00:00;1961-09;38.2;Y;;
1961-10-01 06:00:01;1961-11-01 06:00:00;1961-10;62.1;Y;;Orsaker till saknade data:
1961-11-01 06:00:01;1961-12-01 06:00:00;1961-11;73.3;Y;;  stationen eller givaren har varit ur funktion.
1961-12-01 06:00:01;1962-01-01 06:00:00;1961-12;36.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1962-01-01 06:00:01;1962-02-01 06:00:00;1962-01;64.6;Y
1962-02-01 06:00:01;1962-03-01 06:00:00;1962-02;62.3;Y
1962-03-01 06:00:01;1962-04-01 06:00:00;1962-03;32.5;Y
1962-04-01 06:00:01;1962-05-01 06:00:00;1962-04;40.8;Y
1962-05-01 06:00:01;1962-06-01 06:00:00;1962-05;45.7;Y
1962-06-01 06:00:01;1962-07-01 06:00:00;1962-06;90.9;Y
1962-07-01 06:00:01;1962-08-01 06:00:00;1962-07;79.0;Y
1962-08-01 06:00:01;1962-09-01 06:00:00;1962-08;182.8;Y
1962-09-01 06:00:01;1962-10-01 06:00:00;1962-09;75.8;Y
1962-10-01 06:00:01;1962-11-01 06:00:00;1962-10;32.5;Y
1962-11-01 06:00:01;1962-12-01 06:00:00;1962-11;20.2;Y
1962-12-01 06:00:01;1963-01-01 06:00:00;1962-12;26.0;Y
1963-01-01 06:00:01;1963-02-01 06:00:00;1963-01;28.8;Y
1963-02-01 06:00:01;1963-03-01 06:00:00;1963-02;20.2;Y
1963-03-01 06:00:01;1963-04-01 06:00:00;1963-03;12.1;Y
1963-04-01 06:00:01;1963-05-01 06:00:00;1963-04;24.7;Y
1963-05-01 06:00:01;1963-06-01 06:00:00;1963-05;12.4;Y
1963-06-01 06:00:01;1963-07-01 06:00:00;1963-06;89.4;Y
1963-07-01 06:00:01;1963-08-01 06:00:00;1963-07;48.1;Y
1963-08-01 06:00:01;1963-09-01 06:00:00;1963-08;152.3;Y
1963-09-01 06:00:01;1963-10-01 06:00:00;1963-09;48.7;Y
1963-10-01 06:00:01;1963-11-01 06:00:00;1963-10;78.1;Y
1963-11-01 06:00:01;1963-12-01 06:00:00;1963-11;55.8;Y
1963-12-01 06:00:01;1964-01-01 06:00:00;1963-12;26.5;Y
1964-01-01 06:00:01;1964-02-01 06:00:00;1964-01;7.9;Y
1964-02-01 06:00:01;1964-03-01 06:00:00;1964-02;20.3;Y
1964-03-01 06:00:01;1964-04-01 06:00:00;1964-03;0.1;Y
1964-04-01 06:00:01;1964-05-01 06:00:00;1964-04;13.5;Y
1964-06-01 06:00:01;1964-07-01 06:00:00;1964-06;51.0;Y
1964-07-01 06:00:01;1964-08-01 06:00:00;1964-07;33.3;Y
1964-08-01 06:00:01;1964-09-01 06:00:00;1964-08;56.2;Y
1964-09-01 06:00:01;1964-10-01 06:00:00;1964-09;43.3;Y
1964-11-01 06:00:01;1964-12-01 06:00:00;1964-11;49.2;Y
1964-12-01 06:00:01;1965-01-01 06:00:00;1964-12;68.1;Y
1965-01-01 06:00:01;1965-02-01 06:00:00;1965-01;64.3;Y
1965-02-01 06:00:01;1965-03-01 06:00:00;1965-02;22.0;Y
1965-03-01 06:00:01;1965-04-01 06:00:00;1965-03;5.0;Y
1965-04-01 06:00:01;1965-05-01 06:00:00;1965-04;21.8;Y
1965-05-01 06:00:01;1965-06-01 06:00:00;1965-05;4.2;Y
1965-06-01 06:00:01;1965-07-01 06:00:00;1965-06;75.5;Y
1965-07-01 06:00:01;1965-08-01 06:00:00;1965-07;101.8;Y
1965-08-01 06:00:01;1965-09-01 06:00:00;1965-08;64.0;Y
1965-09-01 06:00:01;1965-10-01 06:00:00;1965-09;68.6;Y
1965-10-01 06:00:01;1965-11-01 06:00:00;1965-10;24.2;Y
1965-11-01 06:00:01;1965-12-01 06:00:00;1965-11;42.1;Y
1965-12-01 06:00:01;1966-01-01 06:00:00;1965-12;76.0;Y
1966-01-01 06:00:01;1966-02-01 06:00:00;1966-01;34.5;Y
1966-02-01 06:00:01;1966-03-01 06:00:00;1966-02;45.8;Y
1966-03-01 06:00:01;1966-04-01 06:00:00;1966-03;41.4;Y
1966-04-01 06:00:01;1966-05-01 06:00:00;1966-04;41.2;Y
1966-05-01 06:00:01;1966-06-01 06:00:00;1966-05;23.5;Y
1966-06-01 06:00:01;1966-07-01 06:00:00;1966-06;44.2;Y
1966-07-01 06:00:01;1966-08-01 06:00:00;1966-07;33.4;Y
1966-08-01 06:00:01;1966-09-01 06:00:00;1966-08;33.4;Y
1966-09-01 06:00:01;1966-10-01 06:00:00;1966-09;23.2;Y
1966-10-01 06:00:01;1966-11-01 06:00:00;1966-10;37.4;Y
1966-11-01 06:00:01;1966-12-01 06:00:00;1966-11;74.9;Y
1966-12-01 06:00:01;1967-01-01 06:00:00;1966-12;131.3;Y
1967-01-01 06:00:01;1967-02-01 06:00:00;1967-01;38.3;Y
1967-02-01 06:00:01;1967-03-01 06:00:00;1967-02;56.0;Y
1967-03-01 06:00:01;1967-04-01 06:00:00;1967-03;21.5;Y
1967-04-01 06:00:01;1967-05-01 06:00:00;1967-04;39.1;Y
1967-05-01 06:00:01;1967-06-01 06:00:00;1967-05;58.3;Y
1967-06-01 06:00:01;1967-07-01 06:00:00;1967-06;35.7;Y
1967-07-01 06:00:01;1967-08-01 06:00:00;1967-07;28.6;Y
1967-08-01 06:00:01;1967-09-01 06:00:00;1967-08;87.9;Y
1967-09-01 06:00:01;1967-10-01 06:00:00;1967-09;146.3;Y
1967-10-01 06:00:01;1967-11-01 06:00:00;1967-10;93.2;Y
