Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Tullinge A;97100;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-01-01 00:00:00;2018-05-01 15:00:00;45.0;59.1789;17.9125

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;7.1;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;10.7;Y;;Tidsperiod (fr.o.m.) = 1996-01-01 00:00:00 (UTC)
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;22.6;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;5.3;Y;;Värdet är summerat över = 1 månad
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;36.3;Y;;
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;23.7;Y;;Kvalitetskoderna:
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;71.1;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;11.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;64.0;Y;;
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;24.1;Y;;Orsaker till saknade data:
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;101.2;Y;;  stationen eller givaren har varit ur funktion.
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;39.3;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;10.3;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;50.5;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;18.8;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;37.4;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;81.9;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;105.3;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;21.6;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;14.2;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;76.0;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;47.7;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;44.8;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;53.6;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;59.5;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;41.6;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;25.6;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;39.5;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;30.2;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;75.3;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;67.4;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;52.1;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;34.2;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;59.0;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;23.7;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;46.2;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;52.3;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;26.1;Y
