Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Södertälje;97120;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-11-01 00:00:00;2015-03-31 23:59:59;40.0;59.182;17.6186
2015-06-01 00:00:00;2018-05-01 15:00:00;23.0;59.21421;17.62894
1931-02-01 00:00:00;1995-10-31 23:59:59;12.0;59.1902;17.6285

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1931-01-01 07:00:01;1931-02-01 07:00:00;1931-01;78.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1931-02-01 07:00:01;1931-03-01 07:00:00;1931-02;36.0;G;;Tidsperiod (fr.o.m.) = 1931-02-01 00:00:00 (UTC)
1931-03-01 07:00:01;1931-04-01 07:00:00;1931-03;20.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1931-04-01 07:00:01;1931-05-01 07:00:00;1931-04;24.0;G;;Värdet är summerat över = 1 månad
1931-05-01 07:00:01;1931-06-01 07:00:00;1931-05;37.0;G;;
1931-06-01 07:00:01;1931-07-01 07:00:00;1931-06;31.0;G;;Kvalitetskoderna:
1931-07-01 07:00:01;1931-08-01 07:00:00;1931-07;45.0;G;;Grön (G) = Kontrollerade och godkända värden.
1931-08-01 07:00:01;1931-09-01 07:00:00;1931-08;76.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1931-09-01 07:00:01;1931-10-01 07:00:00;1931-09;76.0;G;;
1931-10-01 07:00:01;1931-11-01 07:00:00;1931-10;28.0;G;;Orsaker till saknade data:
1931-11-01 07:00:01;1931-12-01 07:00:00;1931-11;31.0;G;;  stationen eller givaren har varit ur funktion.
1931-12-01 07:00:01;1932-01-01 07:00:00;1931-12;58.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1932-01-01 07:00:01;1932-02-01 07:00:00;1932-01;43.0;G
1932-02-01 07:00:01;1932-03-01 07:00:00;1932-02;12.0;G
1932-03-01 07:00:01;1932-04-01 07:00:00;1932-03;17.0;G
1932-04-01 07:00:01;1932-05-01 07:00:00;1932-04;50.0;G
1932-05-01 07:00:01;1932-06-01 07:00:00;1932-05;73.0;G
1932-06-01 07:00:01;1932-07-01 07:00:00;1932-06;59.0;G
1932-07-01 07:00:01;1932-08-01 07:00:00;1932-07;41.0;G
1932-08-01 07:00:01;1932-09-01 07:00:00;1932-08;50.0;G
1932-09-01 07:00:01;1932-10-01 07:00:00;1932-09;74.0;G
1932-10-01 07:00:01;1932-11-01 07:00:00;1932-10;53.0;G
1932-11-01 07:00:01;1932-12-01 07:00:00;1932-11;48.0;G
1932-12-01 07:00:01;1933-01-01 07:00:00;1932-12;12.0;G
1933-01-01 07:00:01;1933-02-01 07:00:00;1933-01;35.0;G
1933-02-01 07:00:01;1933-03-01 07:00:00;1933-02;21.0;G
1933-03-01 07:00:01;1933-04-01 07:00:00;1933-03;20.0;G
1933-04-01 07:00:01;1933-05-01 07:00:00;1933-04;28.0;G
1933-05-01 07:00:01;1933-06-01 07:00:00;1933-05;44.0;G
1933-06-01 07:00:01;1933-07-01 07:00:00;1933-06;16.0;G
1933-07-01 07:00:01;1933-08-01 07:00:00;1933-07;75.0;G
1933-08-01 07:00:01;1933-09-01 07:00:00;1933-08;27.0;G
1933-09-01 07:00:01;1933-10-01 07:00:00;1933-09;39.0;G
1933-10-01 07:00:01;1933-11-01 07:00:00;1933-10;63.0;G
1933-11-01 07:00:01;1933-12-01 07:00:00;1933-11;35.0;G
1933-12-01 07:00:01;1934-01-01 07:00:00;1933-12;10.0;G
1934-01-01 07:00:01;1934-02-01 07:00:00;1934-01;28.0;G
1934-02-01 07:00:01;1934-03-01 07:00:00;1934-02;43.0;G
1934-03-01 07:00:01;1934-04-01 07:00:00;1934-03;78.0;G
1934-04-01 07:00:01;1934-05-01 07:00:00;1934-04;28.0;G
