Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Ytterselö D;97290;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2009-11-01 00:00:00;2018-03-31 23:59:59;19.0;59.407;17.2769

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;60.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;69.0;Y;;Tidsperiod (fr.o.m.) = 2009-11-01 00:00:00 (UTC)
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;37.5;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;25.4;Y;;Värdet är summerat över = 1 månad
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;41.1;Y;;
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;32.8;Y;;Kvalitetskoderna:
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;35.6;Y;;Grön (G) = Kontrollerade och godkända värden.
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;65.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;45.2;Y;;
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;96.6;Y;;Orsaker till saknade data:
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;77.1;Y;;  stationen eller givaren har varit ur funktion.
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;27.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;40.8;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;45.5;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;29.7;Y
