Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Enköping;97380;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1878-09-01 00:00:00;2018-03-31 23:59:59;20.0;59.6407;17.0697

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1878-08-01 07:00:01;1878-09-01 07:00:00;1878-08;98.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1878-09-01 07:00:01;1878-10-01 07:00:00;1878-09;73.0;G;;Tidsperiod (fr.o.m.) = 1878-09-01 00:00:00 (UTC)
1878-10-01 07:00:01;1878-11-01 07:00:00;1878-10;72.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1878-11-01 07:00:01;1878-12-01 07:00:00;1878-11;58.0;G;;Värdet är summerat över = 1 månad
1878-12-01 07:00:01;1879-01-01 07:00:00;1878-12;51.0;G;;
1879-01-01 07:00:01;1879-02-01 07:00:00;1879-01;24.0;G;;Kvalitetskoderna:
1879-02-01 07:00:01;1879-03-01 07:00:00;1879-02;37.0;G;;Grön (G) = Kontrollerade och godkända värden.
1879-03-01 07:00:01;1879-04-01 07:00:00;1879-03;13.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1879-04-01 07:00:01;1879-05-01 07:00:00;1879-04;46.0;G;;
1879-05-01 07:00:01;1879-06-01 07:00:00;1879-05;43.0;G;;Orsaker till saknade data:
1879-06-01 07:00:01;1879-07-01 07:00:00;1879-06;50.0;G;;  stationen eller givaren har varit ur funktion.
1879-07-01 07:00:01;1879-08-01 07:00:00;1879-07;85.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1879-08-01 07:00:01;1879-09-01 07:00:00;1879-08;51.0;G
1879-09-01 07:00:01;1879-10-01 07:00:00;1879-09;65.0;G
1879-10-01 07:00:01;1879-11-01 07:00:00;1879-10;66.0;G
1879-11-01 07:00:01;1879-12-01 07:00:00;1879-11;32.0;G
1879-12-01 07:00:01;1880-01-01 07:00:00;1879-12;18.0;G
1880-01-01 07:00:01;1880-02-01 07:00:00;1880-01;10.0;G
1880-02-01 07:00:01;1880-03-01 07:00:00;1880-02;25.0;G
1880-03-01 07:00:01;1880-04-01 07:00:00;1880-03;14.0;G
1880-04-01 07:00:01;1880-05-01 07:00:00;1880-04;25.0;G
1880-05-01 07:00:01;1880-06-01 07:00:00;1880-05;14.0;G
1880-06-01 07:00:01;1880-07-01 07:00:00;1880-06;33.0;G
1880-07-01 07:00:01;1880-08-01 07:00:00;1880-07;32.0;G
1880-08-01 07:00:01;1880-09-01 07:00:00;1880-08;24.0;G
1880-09-01 07:00:01;1880-10-01 07:00:00;1880-09;29.0;G
1880-10-01 07:00:01;1880-11-01 07:00:00;1880-10;40.0;G
1880-11-01 07:00:01;1880-12-01 07:00:00;1880-11;40.0;G
1880-12-01 07:00:01;1881-01-01 07:00:00;1880-12;58.0;G
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;17.0;G
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;30.0;G
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;24.0;G
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;12.0;G
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;50.0;G
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;22.0;G
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;60.0;G
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;82.0;G
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;82.0;G
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;28.0;G
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;27.0;G
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;31.0;G
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;27.0;G
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;22.0;G
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;36.0;G
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;47.0;G
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;81.0;G
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;39.0;G
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;65.0;G
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;65.0;G
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;31.0;G
1882-10-01 07:00:01;1882-11-01 07:00:00;1882-10;49.0;G
1882-11-01 07:00:01;1882-12-01 07:00:00;1882-11;53.0;G
1882-12-01 07:00:01;1883-01-01 07:00:00;1882-12;39.0;G
1883-01-01 07:00:01;1883-02-01 07:00:00;1883-01;17.0;G
1883-02-01 07:00:01;1883-03-01 07:00:00;1883-02;11.0;G
1883-03-01 07:00:01;1883-04-01 07:00:00;1883-03;23.0;G
1883-04-01 07:00:01;1883-05-01 07:00:00;1883-04;9.0;G
1883-05-01 07:00:01;1883-06-01 07:00:00;1883-05;16.0;G
1883-06-01 07:00:01;1883-07-01 07:00:00;1883-06;28.0;G
1944-01-01 07:00:01;1944-02-01 07:00:00;1944-01;45.0;G
1944-02-01 07:00:01;1944-03-01 07:00:00;1944-02;25.0;G
