Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Uppsala;97520;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2014-05-01 00:00:00;2018-05-01 15:00:00;13.0;59.8585;17.6252
1723-02-01 00:00:00;2014-04-02 05:59:59;13.0;59.8585;17.6252

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1723-01-01 07:00:01;1723-02-01 07:00:00;1723-01;35.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1723-02-01 07:00:01;1723-03-01 07:00:00;1723-02;39.0;G;;Tidsperiod (fr.o.m.) = 1723-02-01 00:00:00 (UTC)
1723-03-01 07:00:01;1723-04-01 07:00:00;1723-03;20.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1723-04-01 07:00:01;1723-05-01 07:00:00;1723-04;16.0;G;;Värdet är summerat över = 1 månad
1723-05-01 07:00:01;1723-06-01 07:00:00;1723-05;92.0;G;;
1723-06-01 07:00:01;1723-07-01 07:00:00;1723-06;67.0;G;;Kvalitetskoderna:
1723-07-01 07:00:01;1723-08-01 07:00:00;1723-07;55.0;G;;Grön (G) = Kontrollerade och godkända värden.
1723-08-01 07:00:01;1723-09-01 07:00:00;1723-08;89.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1723-09-01 07:00:01;1723-10-01 07:00:00;1723-09;14.0;G;;
1723-10-01 07:00:01;1723-11-01 07:00:00;1723-10;24.0;G;;Orsaker till saknade data:
1723-11-01 07:00:01;1723-12-01 07:00:00;1723-11;57.0;G;;  stationen eller givaren har varit ur funktion.
1723-12-01 07:00:01;1724-01-01 07:00:00;1723-12;44.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1724-01-01 07:00:01;1724-02-01 07:00:00;1724-01;99.0;G
1724-02-01 07:00:01;1724-03-01 07:00:00;1724-02;99.0;G
1724-03-01 07:00:01;1724-04-01 07:00:00;1724-03;42.0;G
1724-04-01 07:00:01;1724-05-01 07:00:00;1724-04;30.0;G
1724-05-01 07:00:01;1724-06-01 07:00:00;1724-05;14.0;G
1724-06-01 07:00:01;1724-07-01 07:00:00;1724-06;29.0;G
1724-07-01 07:00:01;1724-08-01 07:00:00;1724-07;155.0;G
1724-08-01 07:00:01;1724-09-01 07:00:00;1724-08;44.0;G
1724-09-01 07:00:01;1724-10-01 07:00:00;1724-09;64.0;G
1724-10-01 07:00:01;1724-11-01 07:00:00;1724-10;51.0;G
1724-11-01 07:00:01;1724-12-01 07:00:00;1724-11;12.0;G
1724-12-01 07:00:01;1725-01-01 07:00:00;1724-12;19.0;G
1725-01-01 07:00:01;1725-02-01 07:00:00;1725-01;4.0;G
1725-02-01 07:00:01;1725-03-01 07:00:00;1725-02;1.0;G
1725-03-01 07:00:01;1725-04-01 07:00:00;1725-03;32.0;G
1725-04-01 07:00:01;1725-05-01 07:00:00;1725-04;23.0;G
1725-05-01 07:00:01;1725-06-01 07:00:00;1725-05;24.0;G
1725-06-01 07:00:01;1725-07-01 07:00:00;1725-06;86.0;G
1725-07-01 07:00:01;1725-08-01 07:00:00;1725-07;58.0;G
1725-08-01 07:00:01;1725-09-01 07:00:00;1725-08;72.0;G
1725-09-01 07:00:01;1725-10-01 07:00:00;1725-09;38.0;G
1725-10-01 07:00:01;1725-11-01 07:00:00;1725-10;46.0;G
1725-11-01 07:00:01;1725-12-01 07:00:00;1725-11;8.0;G
1725-12-01 07:00:01;1726-01-01 07:00:00;1725-12;27.0;G
1726-01-01 07:00:01;1726-02-01 07:00:00;1726-01;25.0;G
1726-02-01 07:00:01;1726-03-01 07:00:00;1726-02;22.0;G
1726-03-01 07:00:01;1726-04-01 07:00:00;1726-03;24.0;G
1726-04-01 07:00:01;1726-05-01 07:00:00;1726-04;14.0;G
1726-05-01 07:00:01;1726-06-01 07:00:00;1726-05;10.0;G
1726-06-01 07:00:01;1726-07-01 07:00:00;1726-06;40.0;G
1726-07-01 07:00:01;1726-08-01 07:00:00;1726-07;65.0;G
1726-08-01 07:00:01;1726-09-01 07:00:00;1726-08;52.0;G
1726-09-01 07:00:01;1726-10-01 07:00:00;1726-09;122.0;G
1726-10-01 07:00:01;1726-11-01 07:00:00;1726-10;49.0;G
1726-11-01 07:00:01;1726-12-01 07:00:00;1726-11;20.0;G
1726-12-01 07:00:01;1727-01-01 07:00:00;1726-12;35.0;G
1727-01-01 07:00:01;1727-02-01 07:00:00;1727-01;38.0;G
1727-02-01 07:00:01;1727-03-01 07:00:00;1727-02;16.0;G
1727-03-01 07:00:01;1727-04-01 07:00:00;1727-03;17.0;G
1727-04-01 07:00:01;1727-05-01 07:00:00;1727-04;26.0;G
1727-05-01 07:00:01;1727-06-01 07:00:00;1727-05;37.0;G
1727-06-01 07:00:01;1727-07-01 07:00:00;1727-06;34.0;G
1727-07-01 07:00:01;1727-08-01 07:00:00;1727-07;45.0;G
1727-08-01 07:00:01;1727-09-01 07:00:00;1727-08;15.0;G
1727-09-01 07:00:01;1727-10-01 07:00:00;1727-09;45.0;G
1727-10-01 07:00:01;1727-11-01 07:00:00;1727-10;114.0;G
1727-11-01 07:00:01;1727-12-01 07:00:00;1727-11;25.0;G
1727-12-01 07:00:01;1728-01-01 07:00:00;1727-12;30.0;G
1728-01-01 07:00:01;1728-02-01 07:00:00;1728-01;43.0;G
1728-02-01 07:00:01;1728-03-01 07:00:00;1728-02;42.0;G
1728-03-01 07:00:01;1728-04-01 07:00:00;1728-03;0.0;G
1728-04-01 07:00:01;1728-05-01 07:00:00;1728-04;71.0;G
1728-05-01 07:00:01;1728-06-01 07:00:00;1728-05;89.0;G
1728-06-01 07:00:01;1728-07-01 07:00:00;1728-06;40.0;G
1728-07-01 07:00:01;1728-08-01 07:00:00;1728-07;91.0;G
1728-08-01 07:00:01;1728-09-01 07:00:00;1728-08;73.0;G
1728-09-01 07:00:01;1728-10-01 07:00:00;1728-09;5.0;G
1728-10-01 07:00:01;1728-11-01 07:00:00;1728-10;10.0;G
1728-11-01 07:00:01;1728-12-01 07:00:00;1728-11;29.0;G
1728-12-01 07:00:01;1729-01-01 07:00:00;1728-12;17.0;G
1729-01-01 07:00:01;1729-02-01 07:00:00;1729-01;14.0;G
1729-02-01 07:00:01;1729-03-01 07:00:00;1729-02;23.0;G
1729-03-01 07:00:01;1729-04-01 07:00:00;1729-03;10.0;G
1729-04-01 07:00:01;1729-05-01 07:00:00;1729-04;11.0;G
1729-05-01 07:00:01;1729-06-01 07:00:00;1729-05;19.0;G
1729-06-01 07:00:01;1729-07-01 07:00:00;1729-06;50.0;G
1729-07-01 07:00:01;1729-08-01 07:00:00;1729-07;54.0;G
1729-08-01 07:00:01;1729-09-01 07:00:00;1729-08;45.0;G
1729-09-01 07:00:01;1729-10-01 07:00:00;1729-09;61.0;G
1729-10-01 07:00:01;1729-11-01 07:00:00;1729-10;17.0;G
1729-11-01 07:00:01;1729-12-01 07:00:00;1729-11;14.0;G
1729-12-01 07:00:01;1730-01-01 07:00:00;1729-12;31.0;G
1730-01-01 07:00:01;1730-02-01 07:00:00;1730-01;7.0;G
1730-02-01 07:00:01;1730-03-01 07:00:00;1730-02;11.0;G
1730-03-01 07:00:01;1730-04-01 07:00:00;1730-03;50.0;G
1730-04-01 07:00:01;1730-05-01 07:00:00;1730-04;4.0;G
1730-05-01 07:00:01;1730-06-01 07:00:00;1730-05;12.0;G
1730-06-01 07:00:01;1730-07-01 07:00:00;1730-06;56.0;G
1730-07-01 07:00:01;1730-08-01 07:00:00;1730-07;38.0;G
1730-08-01 07:00:01;1730-09-01 07:00:00;1730-08;12.0;G
1730-09-01 07:00:01;1730-10-01 07:00:00;1730-09;40.0;G
1730-10-01 07:00:01;1730-11-01 07:00:00;1730-10;10.0;G
1730-11-01 07:00:01;1730-12-01 07:00:00;1730-11;41.0;G
1730-12-01 07:00:01;1731-01-01 07:00:00;1730-12;32.0;G
1731-01-01 07:00:01;1731-02-01 07:00:00;1731-01;13.0;G
1731-02-01 07:00:01;1731-03-01 07:00:00;1731-02;15.0;G
1731-03-01 07:00:01;1731-04-01 07:00:00;1731-03;13.0;G
1731-04-01 07:00:01;1731-05-01 07:00:00;1731-04;0.0;G
1731-05-01 07:00:01;1731-06-01 07:00:00;1731-05;4.0;G
1731-06-01 07:00:01;1731-07-01 07:00:00;1731-06;40.0;G
1731-07-01 07:00:01;1731-08-01 07:00:00;1731-07;92.0;G
1731-08-01 07:00:01;1731-09-01 07:00:00;1731-08;43.0;G
