Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Uppsala Flygplats;97530;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1945-02-01 00:00:00;2018-05-01 15:00:00;21.0;59.8953;17.5935

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1945-01-01 07:00:01;1945-02-01 07:00:00;1945-01;34.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1945-02-01 07:00:01;1945-03-01 07:00:00;1945-02;25.0;G;;Tidsperiod (fr.o.m.) = 1945-02-01 00:00:00 (UTC)
1945-03-01 07:00:01;1945-04-01 07:00:00;1945-03;27.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1945-04-01 07:00:01;1945-05-01 07:00:00;1945-04;46.0;G;;Värdet är summerat över = 1 månad
1945-05-01 07:00:01;1945-06-01 07:00:00;1945-05;57.0;G;;
1945-06-01 07:00:01;1945-07-01 07:00:00;1945-06;62.0;G;;Kvalitetskoderna:
1945-07-01 07:00:01;1945-08-01 07:00:00;1945-07;86.0;G;;Grön (G) = Kontrollerade och godkända värden.
1945-08-01 07:00:01;1945-09-01 07:00:00;1945-08;62.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1945-09-01 07:00:01;1945-10-01 07:00:00;1945-09;37.0;G;;
1945-10-01 07:00:01;1945-11-01 07:00:00;1945-10;43.0;G;;Orsaker till saknade data:
1945-11-01 07:00:01;1945-12-01 07:00:00;1945-11;54.0;G;;  stationen eller givaren har varit ur funktion.
1945-12-01 07:00:01;1946-01-01 07:00:00;1945-12;28.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1947-01-01 06:00:01;1947-02-01 06:00:00;1947-01;20.0;G
1947-02-01 06:00:01;1947-03-01 06:00:00;1947-02;2.0;G
1947-03-01 06:00:01;1947-04-01 06:00:00;1947-03;50.0;G
1947-04-01 06:00:01;1947-05-01 06:00:00;1947-04;30.0;G
1947-05-01 06:00:01;1947-06-01 06:00:00;1947-05;6.0;G
1947-06-01 06:00:01;1947-07-01 06:00:00;1947-06;75.0;G
1947-07-01 06:00:01;1947-08-01 06:00:00;1947-07;33.0;G
1947-08-01 06:00:01;1947-09-01 06:00:00;1947-08;32.0;G
1947-09-01 06:00:01;1947-10-01 06:00:00;1947-09;17.0;G
1947-10-01 06:00:01;1947-11-01 06:00:00;1947-10;11.0;G
1947-11-01 06:00:01;1947-12-01 06:00:00;1947-11;45.0;G
1947-12-01 06:00:01;1948-01-01 06:00:00;1947-12;54.0;G
1949-01-01 06:00:01;1949-02-01 06:00:00;1949-01;37.3;Y
1949-02-01 06:00:01;1949-03-01 06:00:00;1949-02;8.5;Y
1949-03-01 06:00:01;1949-04-01 06:00:00;1949-03;15.6;Y
1949-04-01 06:00:01;1949-05-01 06:00:00;1949-04;12.0;Y
1949-05-01 06:00:01;1949-06-01 06:00:00;1949-05;27.6;Y
1949-06-01 06:00:01;1949-07-01 06:00:00;1949-06;30.0;Y
1949-07-01 06:00:01;1949-08-01 06:00:00;1949-07;47.3;Y
1949-08-01 06:00:01;1949-09-01 06:00:00;1949-08;96.0;G
1949-09-01 06:00:01;1949-10-01 06:00:00;1949-09;31.2;Y
1949-10-01 06:00:01;1949-11-01 06:00:00;1949-10;94.6;Y
1949-11-01 06:00:01;1949-12-01 06:00:00;1949-11;62.2;Y
1949-12-01 06:00:01;1950-01-01 06:00:00;1949-12;57.9;Y
1950-01-01 06:00:01;1950-02-01 06:00:00;1950-01;31.0;G
1950-02-01 06:00:01;1950-03-01 06:00:00;1950-02;26.7;Y
1950-03-01 06:00:01;1950-04-01 06:00:00;1950-03;16.4;Y
1950-04-01 06:00:01;1950-05-01 06:00:00;1950-04;60.1;Y
1950-05-01 06:00:01;1950-06-01 06:00:00;1950-05;26.0;G
1950-06-01 06:00:01;1950-07-01 06:00:00;1950-06;53.9;Y
1950-07-01 06:00:01;1950-08-01 06:00:00;1950-07;38.0;G
1950-08-01 06:00:01;1950-09-01 06:00:00;1950-08;60.6;Y
1950-09-01 06:00:01;1950-10-01 06:00:00;1950-09;55.5;Y
1950-10-01 06:00:01;1950-11-01 06:00:00;1950-10;25.0;G
1950-11-01 06:00:01;1950-12-01 06:00:00;1950-11;54.0;G
1950-12-01 06:00:01;1951-01-01 06:00:00;1950-12;56.0;G
1951-01-01 06:00:01;1951-02-01 06:00:00;1951-01;28.5;Y
1951-02-01 06:00:01;1951-03-01 06:00:00;1951-02;17.1;Y
1951-03-01 06:00:01;1951-04-01 06:00:00;1951-03;38.5;Y
1951-04-01 06:00:01;1951-05-01 06:00:00;1951-04;30.3;Y
1951-05-01 06:00:01;1951-06-01 06:00:00;1951-05;4.3;Y
1951-06-01 06:00:01;1951-07-01 06:00:00;1951-06;40.5;Y
1951-07-01 06:00:01;1951-08-01 06:00:00;1951-07;27.0;Y
1951-08-01 06:00:01;1951-09-01 06:00:00;1951-08;84.0;G
1951-09-01 06:00:01;1951-10-01 06:00:00;1951-09;24.6;Y
1951-10-01 06:00:01;1951-11-01 06:00:00;1951-10;26.0;Y
1951-11-01 06:00:01;1951-12-01 06:00:00;1951-11;52.9;Y
1951-12-01 06:00:01;1952-01-01 06:00:00;1951-12;35.1;Y
1952-01-01 06:00:01;1952-02-01 06:00:00;1952-01;27.3;Y
1952-02-01 06:00:01;1952-03-01 06:00:00;1952-02;15.5;Y
1952-03-01 06:00:01;1952-04-01 06:00:00;1952-03;12.0;G
1952-04-01 06:00:01;1952-05-01 06:00:00;1952-04;37.0;Y
1952-05-01 06:00:01;1952-06-01 06:00:00;1952-05;8.8;Y
1952-06-01 06:00:01;1952-07-01 06:00:00;1952-06;26.7;Y
1952-07-01 06:00:01;1952-08-01 06:00:00;1952-07;44.7;Y
1952-08-01 06:00:01;1952-09-01 06:00:00;1952-08;51.8;Y
1952-09-01 06:00:01;1952-10-01 06:00:00;1952-09;46.9;Y
1952-10-01 06:00:01;1952-11-01 06:00:00;1952-10;120.0;G
1952-11-01 06:00:01;1952-12-01 06:00:00;1952-11;48.9;Y
1952-12-01 06:00:01;1953-01-01 06:00:00;1952-12;55.7;Y
1953-01-01 06:00:01;1953-02-01 06:00:00;1953-01;33.5;Y
1953-02-01 06:00:01;1953-03-01 06:00:00;1953-02;41.0;Y
1953-03-01 06:00:01;1953-04-01 06:00:00;1953-03;2.2;Y
1953-04-01 06:00:01;1953-05-01 06:00:00;1953-04;15.9;Y
1953-05-01 06:00:01;1953-06-01 06:00:00;1953-05;33.8;Y
1953-06-01 06:00:01;1953-07-01 06:00:00;1953-06;31.2;Y
1953-07-01 06:00:01;1953-08-01 06:00:00;1953-07;113.6;Y
1953-08-01 06:00:01;1953-09-01 06:00:00;1953-08;28.0;G
1953-09-01 06:00:01;1953-10-01 06:00:00;1953-09;46.4;Y
1953-10-01 06:00:01;1953-11-01 06:00:00;1953-10;46.4;Y
1953-11-01 06:00:01;1953-12-01 06:00:00;1953-11;14.4;Y
1953-12-01 06:00:01;1954-01-01 06:00:00;1953-12;16.5;Y
1954-01-01 06:00:01;1954-02-01 06:00:00;1954-01;59.0;Y
1954-02-01 06:00:01;1954-03-01 06:00:00;1954-02;15.0;Y
1954-03-01 06:00:01;1954-04-01 06:00:00;1954-03;36.2;Y
1954-04-01 06:00:01;1954-05-01 06:00:00;1954-04;23.9;Y
1954-05-01 06:00:01;1954-06-01 06:00:00;1954-05;24.3;Y
1954-06-01 06:00:01;1954-07-01 06:00:00;1954-06;43.4;Y
1954-07-01 06:00:01;1954-08-01 06:00:00;1954-07;133.7;Y
1954-08-01 06:00:01;1954-09-01 06:00:00;1954-08;95.2;Y
1954-09-01 06:00:01;1954-10-01 06:00:00;1954-09;75.3;Y
1954-10-01 06:00:01;1954-11-01 06:00:00;1954-10;54.0;Y
1954-11-01 06:00:01;1954-12-01 06:00:00;1954-11;73.0;Y
1954-12-01 06:00:01;1955-01-01 06:00:00;1954-12;56.7;Y
1955-01-01 06:00:01;1955-02-01 06:00:00;1955-01;40.3;Y
1955-02-01 06:00:01;1955-03-01 06:00:00;1955-02;24.7;Y
1955-03-01 06:00:01;1955-04-01 06:00:00;1955-03;9.0;G
1955-04-01 06:00:01;1955-05-01 06:00:00;1955-04;22.4;Y
1955-05-01 06:00:01;1955-06-01 06:00:00;1955-05;69.9;Y
1955-06-01 06:00:01;1955-07-01 06:00:00;1955-06;30.5;Y
1955-07-01 06:00:01;1955-08-01 06:00:00;1955-07;13.9;Y
1955-08-01 06:00:01;1955-09-01 06:00:00;1955-08;8.2;Y
1955-09-01 06:00:01;1955-10-01 06:00:00;1955-09;44.2;Y
1955-10-01 06:00:01;1955-11-01 06:00:00;1955-10;71.8;Y
1955-11-01 06:00:01;1955-12-01 06:00:00;1955-11;25.0;G
1955-12-01 06:00:01;1956-01-01 06:00:00;1955-12;75.0;G
1956-01-01 06:00:01;1956-02-01 06:00:00;1956-01;42.1;Y
1956-02-01 06:00:01;1956-03-01 06:00:00;1956-02;34.7;Y
1956-03-01 06:00:01;1956-04-01 06:00:00;1956-03;7.0;G
1956-04-01 06:00:01;1956-05-01 06:00:00;1956-04;17.8;Y
1956-05-01 06:00:01;1956-06-01 06:00:00;1956-05;6.0;G
1956-06-01 06:00:01;1956-07-01 06:00:00;1956-06;84.5;Y
1956-07-01 06:00:01;1956-08-01 06:00:00;1956-07;55.6;Y
1956-08-01 06:00:01;1956-09-01 06:00:00;1956-08;86.3;Y
1956-09-01 06:00:01;1956-10-01 06:00:00;1956-09;25.7;Y
1956-10-01 06:00:01;1956-11-01 06:00:00;1956-10;43.4;Y
1956-11-01 06:00:01;1956-12-01 06:00:00;1956-11;35.0;G
1956-12-01 06:00:01;1957-01-01 06:00:00;1956-12;25.6;Y
1957-01-01 06:00:01;1957-02-01 06:00:00;1957-01;37.0;G
1957-02-01 06:00:01;1957-03-01 06:00:00;1957-02;49.4;Y
1957-03-01 06:00:01;1957-04-01 06:00:00;1957-03;23.0;Y
1957-04-01 06:00:01;1957-05-01 06:00:00;1957-04;14.4;Y
1957-05-01 06:00:01;1957-06-01 06:00:00;1957-05;15.4;Y
1957-06-01 06:00:01;1957-07-01 06:00:00;1957-06;76.6;Y
1957-07-01 06:00:01;1957-08-01 06:00:00;1957-07;55.7;Y
1957-08-01 06:00:01;1957-09-01 06:00:00;1957-08;98.6;Y
1957-09-01 06:00:01;1957-10-01 06:00:00;1957-09;123.9;Y
1957-10-01 06:00:01;1957-11-01 06:00:00;1957-10;54.8;Y
1957-11-01 06:00:01;1957-12-01 06:00:00;1957-11;45.8;Y
1957-12-01 06:00:01;1958-01-01 06:00:00;1957-12;17.0;G
1958-01-01 06:00:01;1958-02-01 06:00:00;1958-01;17.3;Y
1958-02-01 06:00:01;1958-03-01 06:00:00;1958-02;21.7;Y
1958-03-01 06:00:01;1958-04-01 06:00:00;1958-03;31.1;Y
1958-04-01 06:00:01;1958-05-01 06:00:00;1958-04;19.7;Y
1958-05-01 06:00:01;1958-06-01 06:00:00;1958-05;70.5;Y
1958-06-01 06:00:01;1958-07-01 06:00:00;1958-06;56.2;Y
1958-07-01 06:00:01;1958-08-01 06:00:00;1958-07;81.1;Y
1958-08-01 06:00:01;1958-09-01 06:00:00;1958-08;76.8;Y
1958-09-01 06:00:01;1958-10-01 06:00:00;1958-09;38.6;Y
1958-10-01 06:00:01;1958-11-01 06:00:00;1958-10;35.2;Y
1958-11-01 06:00:01;1958-12-01 06:00:00;1958-11;37.4;Y
1958-12-01 06:00:01;1959-01-01 06:00:00;1958-12;60.3;Y
1959-01-01 06:00:01;1959-02-01 06:00:00;1959-01;83.2;Y
1959-02-01 06:00:01;1959-03-01 06:00:00;1959-02;6.7;Y
1959-03-01 06:00:01;1959-04-01 06:00:00;1959-03;36.8;Y
1959-04-01 06:00:01;1959-05-01 06:00:00;1959-04;46.0;Y
1959-05-01 06:00:01;1959-06-01 06:00:00;1959-05;22.0;Y
1959-06-01 06:00:01;1959-07-01 06:00:00;1959-06;25.9;Y
1959-07-01 06:00:01;1959-08-01 06:00:00;1959-07;11.3;Y
1959-08-01 06:00:01;1959-09-01 06:00:00;1959-08;20.6;Y
1959-09-01 06:00:01;1959-10-01 06:00:00;1959-09;19.6;Y
1959-10-01 06:00:01;1959-11-01 06:00:00;1959-10;64.3;Y
1959-11-01 06:00:01;1959-12-01 06:00:00;1959-11;43.7;Y
1959-12-01 06:00:01;1960-01-01 06:00:00;1959-12;57.2;Y
1960-01-01 06:00:01;1960-02-01 06:00:00;1960-01;76.1;Y
1960-02-01 06:00:01;1960-03-01 06:00:00;1960-02;14.6;Y
1960-03-01 06:00:01;1960-04-01 06:00:00;1960-03;9.2;Y
1960-04-01 06:00:01;1960-05-01 06:00:00;1960-04;28.2;Y
1960-05-01 06:00:01;1960-06-01 06:00:00;1960-05;25.9;Y
1960-06-01 06:00:01;1960-07-01 06:00:00;1960-06;43.7;Y
1960-07-01 06:00:01;1960-08-01 06:00:00;1960-07;101.4;Y
1960-08-01 06:00:01;1960-09-01 06:00:00;1960-08;174.3;Y
1960-09-01 06:00:01;1960-10-01 06:00:00;1960-09;47.3;Y
1960-10-01 06:00:01;1960-11-01 06:00:00;1960-10;52.3;Y
1960-11-01 06:00:01;1960-12-01 06:00:00;1960-11;72.5;Y
1960-12-01 06:00:01;1961-01-01 06:00:00;1960-12;80.6;Y
1961-01-01 06:00:01;1961-02-01 06:00:00;1961-01;30.2;Y
1961-02-01 06:00:01;1961-03-01 06:00:00;1961-02;23.1;Y
1961-03-01 06:00:01;1961-04-01 06:00:00;1961-03;22.3;Y
1961-04-01 06:00:01;1961-05-01 06:00:00;1961-04;22.1;Y
1961-05-01 06:00:01;1961-06-01 06:00:00;1961-05;98.0;Y
1961-06-01 06:00:01;1961-07-01 06:00:00;1961-06;84.8;Y
1961-07-01 06:00:01;1961-08-01 06:00:00;1961-07;108.5;Y
1961-08-01 06:00:01;1961-09-01 06:00:00;1961-08;52.7;Y
1961-09-01 06:00:01;1961-10-01 06:00:00;1961-09;34.6;Y
