Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Berga Mo;98040;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2013-02-01 00:00:00;2018-04-30 23:59:59;4.0;59.0688;18.1184
1953-03-01 00:00:00;2003-05-31 23:59:59;4.0;59.0714;18.1217

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1953-02-01 06:00:01;1953-03-01 06:00:00;1953-02;46.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1953-03-01 06:00:01;1953-04-01 06:00:00;1953-03;9.6;Y;;Tidsperiod (fr.o.m.) = 1953-03-01 00:00:00 (UTC)
1953-04-01 06:00:01;1953-05-01 06:00:00;1953-04;11.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1953-05-01 06:00:01;1953-06-01 06:00:00;1953-05;30.5;Y;;Värdet är summerat över = 1 månad
1953-06-01 06:00:01;1953-07-01 06:00:00;1953-06;18.3;Y;;
1953-08-01 06:00:01;1953-09-01 06:00:00;1953-08;62.1;Y;;Kvalitetskoderna:
1953-09-01 06:00:01;1953-10-01 06:00:00;1953-09;52.6;Y;;Grön (G) = Kontrollerade och godkända värden.
1953-11-01 06:00:01;1953-12-01 06:00:00;1953-11;14.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1954-03-01 06:00:01;1954-04-01 06:00:00;1954-03;46.4;Y;;
1954-04-01 06:00:01;1954-05-01 06:00:00;1954-04;9.6;Y;;Orsaker till saknade data:
1955-05-01 06:00:01;1955-06-01 06:00:00;1955-05;40.9;Y;;  stationen eller givaren har varit ur funktion.
1955-07-01 06:00:01;1955-08-01 06:00:00;1955-07;8.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1955-09-01 06:00:01;1955-10-01 06:00:00;1955-09;63.2;Y
1955-11-01 06:00:01;1955-12-01 06:00:00;1955-11;19.7;Y
1956-02-01 06:00:01;1956-03-01 06:00:00;1956-02;34.1;Y
1956-05-01 06:00:01;1956-06-01 06:00:00;1956-05;20.3;Y
1956-06-01 06:00:01;1956-07-01 06:00:00;1956-06;73.9;Y
1956-07-01 06:00:01;1956-08-01 06:00:00;1956-07;48.8;Y
1956-08-01 06:00:01;1956-09-01 06:00:00;1956-08;132.8;Y
1957-02-01 06:00:01;1957-03-01 06:00:00;1957-02;95.8;Y
1957-03-01 06:00:01;1957-04-01 06:00:00;1957-03;26.6;Y
1957-04-01 06:00:01;1957-05-01 06:00:00;1957-04;34.6;Y
1957-06-01 06:00:01;1957-07-01 06:00:00;1957-06;49.3;Y
1957-09-01 06:00:01;1957-10-01 06:00:00;1957-09;73.1;Y
1957-10-01 06:00:01;1957-11-01 06:00:00;1957-10;52.7;Y
1957-11-01 06:00:01;1957-12-01 06:00:00;1957-11;25.6;Y
1957-12-01 06:00:01;1958-01-01 06:00:00;1957-12;47.4;Y
1958-01-01 06:00:01;1958-02-01 06:00:00;1958-01;16.4;Y
1958-02-01 06:00:01;1958-03-01 06:00:00;1958-02;40.4;Y
1958-03-01 06:00:01;1958-04-01 06:00:00;1958-03;13.5;Y
1958-04-01 06:00:01;1958-05-01 06:00:00;1958-04;54.0;Y
1958-05-01 06:00:01;1958-06-01 06:00:00;1958-05;66.3;Y
1958-09-01 06:00:01;1958-10-01 06:00:00;1958-09;32.0;Y
1958-11-01 06:00:01;1958-12-01 06:00:00;1958-11;52.0;Y
1959-01-01 06:00:01;1959-02-01 06:00:00;1959-01;70.0;Y
1959-02-01 06:00:01;1959-03-01 06:00:00;1959-02;9.6;Y
1959-03-01 06:00:01;1959-04-01 06:00:00;1959-03;35.4;Y
1959-04-01 06:00:01;1959-05-01 06:00:00;1959-04;45.9;Y
1959-05-01 06:00:01;1959-06-01 06:00:00;1959-05;9.1;Y
1959-06-01 06:00:01;1959-07-01 06:00:00;1959-06;26.6;Y
1959-07-01 06:00:01;1959-08-01 06:00:00;1959-07;2.5;Y
1959-08-01 06:00:01;1959-09-01 06:00:00;1959-08;8.2;Y
1959-09-01 06:00:01;1959-10-01 06:00:00;1959-09;48.9;Y
