Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Gillinge D;98060;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1973-11-01 00:00:00;2012-12-31 23:59:59;5.0;59.1112;18.6545
2013-01-01 00:00:00;2016-08-01 23:59:59;5.0;59.1112;18.6545

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1973-10-01 06:00:01;1973-11-01 06:00:00;1973-10;37.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1973-11-01 06:00:01;1973-12-01 06:00:00;1973-11;47.2;Y;;Tidsperiod (fr.o.m.) = 1973-11-01 00:00:00 (UTC)
1973-12-01 06:00:01;1974-01-01 06:00:00;1973-12;44.2;Y;;Tidsperiod (t.o.m.) = 2016-08-01 23:59:59 (UTC)
1974-01-01 06:00:01;1974-02-01 06:00:00;1974-01;43.3;Y;;Värdet är summerat över = 1 månad
1974-02-01 06:00:01;1974-03-01 06:00:00;1974-02;28.4;Y;;
1974-03-01 06:00:01;1974-04-01 06:00:00;1974-03;30.4;Y;;Kvalitetskoderna:
1974-04-01 06:00:01;1974-05-01 06:00:00;1974-04;8.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1974-05-01 06:00:01;1974-06-01 06:00:00;1974-05;14.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1974-06-01 06:00:01;1974-07-01 06:00:00;1974-06;25.1;Y;;
1974-07-01 06:00:01;1974-08-01 06:00:00;1974-07;115.1;Y;;Orsaker till saknade data:
1974-08-01 06:00:01;1974-09-01 06:00:00;1974-08;32.5;Y;;  stationen eller givaren har varit ur funktion.
1974-09-01 06:00:01;1974-10-01 06:00:00;1974-09;41.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;164.1;Y
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;134.1;Y
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;76.5;Y
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;36.3;Y
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;7.5;Y
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;25.5;Y
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;21.8;Y
1975-05-01 06:00:01;1975-06-01 06:00:00;1975-05;50.1;Y
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;11.0;Y
1975-07-01 06:00:01;1975-08-01 06:00:00;1975-07;22.7;Y
1975-08-01 06:00:01;1975-09-01 06:00:00;1975-08;73.9;Y
1975-09-01 06:00:01;1975-10-01 06:00:00;1975-09;86.7;Y
1975-10-01 06:00:01;1975-11-01 06:00:00;1975-10;15.5;Y
1975-11-01 06:00:01;1975-12-01 06:00:00;1975-11;27.3;Y
1975-12-01 06:00:01;1976-01-01 06:00:00;1975-12;39.7;Y
1976-01-01 06:00:01;1976-02-01 06:00:00;1976-01;28.3;Y
1976-02-01 06:00:01;1976-03-01 06:00:00;1976-02;21.0;Y
1976-03-01 06:00:01;1976-04-01 06:00:00;1976-03;28.6;Y
1976-04-01 06:00:01;1976-05-01 06:00:00;1976-04;24.3;Y
1976-05-01 06:00:01;1976-06-01 06:00:00;1976-05;53.3;Y
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;21.9;Y
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;30.3;Y
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;11.9;Y
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;37.5;Y
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;27.5;Y
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;63.0;Y
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;107.5;Y
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;54.2;Y
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;40.6;Y
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;26.5;Y
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;36.6;Y
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;36.7;Y
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;57.9;Y
1977-07-01 06:00:01;1977-08-01 06:00:00;1977-07;84.5;Y
1977-08-01 06:00:01;1977-09-01 06:00:00;1977-08;76.3;Y
1977-09-01 06:00:01;1977-10-01 06:00:00;1977-09;42.7;Y
1977-10-01 06:00:01;1977-11-01 06:00:00;1977-10;43.4;Y
1977-11-01 06:00:01;1977-12-01 06:00:00;1977-11;73.2;Y
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;24.6;Y
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;30.3;Y
1978-02-01 06:00:01;1978-03-01 06:00:00;1978-02;28.9;Y
1978-03-01 06:00:01;1978-04-01 06:00:00;1978-03;60.7;Y
1978-04-01 06:00:01;1978-05-01 06:00:00;1978-04;8.7;Y
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;16.3;Y
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;33.7;Y
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;68.5;Y
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;97.0;Y
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;72.1;Y
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;9.0;Y
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;39.8;Y
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;20.8;Y
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;52.9;Y
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;6.6;Y
1979-03-01 06:00:01;1979-04-01 06:00:00;1979-03;36.5;Y
1979-04-01 06:00:01;1979-05-01 06:00:00;1979-04;43.5;Y
1979-05-01 06:00:01;1979-06-01 06:00:00;1979-05;34.9;Y
1979-06-01 06:00:01;1979-07-01 06:00:00;1979-06;30.6;Y
1979-07-01 06:00:01;1979-08-01 06:00:00;1979-07;52.8;Y
1979-08-01 06:00:01;1979-09-01 06:00:00;1979-08;73.3;Y
1979-09-01 06:00:01;1979-10-01 06:00:00;1979-09;31.2;Y
1979-10-01 06:00:01;1979-11-01 06:00:00;1979-10;23.5;Y
1979-11-01 06:00:01;1979-12-01 06:00:00;1979-11;98.0;Y
1979-12-01 06:00:01;1980-01-01 06:00:00;1979-12;26.8;Y
1980-01-01 06:00:01;1980-02-01 06:00:00;1980-01;18.0;Y
1980-02-01 06:00:01;1980-03-01 06:00:00;1980-02;1.8;Y
1980-03-01 06:00:01;1980-04-01 06:00:00;1980-03;28.8;Y
1980-04-01 06:00:01;1980-05-01 06:00:00;1980-04;47.3;Y
