Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stormyra;98140;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1976-09-01 00:00:00;2018-03-31 23:59:59;30.0;59.2032;18.3308

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;29.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;36.5;Y;;Tidsperiod (fr.o.m.) = 1976-09-01 00:00:00 (UTC)
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;59.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;172.4;Y;;Värdet är summerat över = 1 månad
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;91.5;Y;;
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;43.6;Y;;Kvalitetskoderna:
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;30.2;Y;;Grön (G) = Kontrollerade och godkända värden.
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;42.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;29.5;Y;;
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;76.8;Y;;Orsaker till saknade data:
1977-07-01 06:00:01;1977-08-01 06:00:00;1977-07;145.3;Y;;  stationen eller givaren har varit ur funktion.
1977-08-01 06:00:01;1977-09-01 06:00:00;1977-08;70.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1977-09-01 06:00:01;1977-10-01 06:00:00;1977-09;34.8;Y
1977-10-01 06:00:01;1977-11-01 06:00:00;1977-10;34.2;Y
1977-11-01 06:00:01;1977-12-01 06:00:00;1977-11;98.5;Y
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;41.7;Y
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;41.2;Y
1978-02-01 06:00:01;1978-03-01 06:00:00;1978-02;33.1;Y
1978-03-01 06:00:01;1978-04-01 06:00:00;1978-03;73.4;Y
1978-04-01 06:00:01;1978-05-01 06:00:00;1978-04;11.5;Y
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;15.1;Y
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;27.4;Y
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;52.8;Y
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;85.0;Y
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;113.2;Y
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;17.4;Y
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;55.4;Y
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;31.8;Y
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;71.3;Y
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;6.9;Y
1979-03-01 06:00:01;1979-04-01 06:00:00;1979-03;48.3;Y
1979-04-01 06:00:01;1979-05-01 06:00:00;1979-04;49.1;Y
1981-01-01 06:00:01;1981-02-01 06:00:00;1981-01;38.1;Y
1981-02-01 06:00:01;1981-03-01 06:00:00;1981-02;27.9;Y
1981-03-01 06:00:01;1981-04-01 06:00:00;1981-03;61.3;Y
1981-04-01 06:00:01;1981-05-01 06:00:00;1981-04;25.3;Y
1981-05-01 06:00:01;1981-06-01 06:00:00;1981-05;14.8;Y
1981-06-01 06:00:01;1981-07-01 06:00:00;1981-06;71.0;Y
1981-08-01 06:00:01;1981-09-01 06:00:00;1981-08;58.7;Y
1981-09-01 06:00:01;1981-10-01 06:00:00;1981-09;20.4;Y
1981-10-01 06:00:01;1981-11-01 06:00:00;1981-10;132.9;Y
1981-11-01 06:00:01;1981-12-01 06:00:00;1981-11;125.3;Y
1982-01-01 06:00:01;1982-02-01 06:00:00;1982-01;45.6;Y
1982-02-01 06:00:01;1982-03-01 06:00:00;1982-02;26.5;Y
1982-03-01 06:00:01;1982-04-01 06:00:00;1982-03;40.6;Y
1982-04-01 06:00:01;1982-05-01 06:00:00;1982-04;46.8;Y
1982-05-01 06:00:01;1982-06-01 06:00:00;1982-05;22.9;Y
1982-06-01 06:00:01;1982-07-01 06:00:00;1982-06;41.3;Y
1982-07-01 06:00:01;1982-08-01 06:00:00;1982-07;50.7;Y
1982-08-01 06:00:01;1982-09-01 06:00:00;1982-08;58.1;Y
1982-09-01 06:00:01;1982-10-01 06:00:00;1982-09;32.4;Y
1982-10-01 06:00:01;1982-11-01 06:00:00;1982-10;52.2;Y
1982-11-01 06:00:01;1982-12-01 06:00:00;1982-11;57.5;Y
1982-12-01 06:00:01;1983-01-01 06:00:00;1982-12;76.3;Y
1983-01-01 06:00:01;1983-02-01 06:00:00;1983-01;41.8;Y
1983-02-01 06:00:01;1983-03-01 06:00:00;1983-02;29.7;Y
1983-03-01 06:00:01;1983-04-01 06:00:00;1983-03;69.5;Y
1983-05-01 06:00:01;1983-06-01 06:00:00;1983-05;42.7;Y
1983-06-01 06:00:01;1983-07-01 06:00:00;1983-06;54.4;Y
1983-08-01 06:00:01;1983-09-01 06:00:00;1983-08;13.2;Y
1983-09-01 06:00:01;1983-10-01 06:00:00;1983-09;139.9;Y
1983-10-01 06:00:01;1983-11-01 06:00:00;1983-10;51.1;Y
1983-11-01 06:00:01;1983-12-01 06:00:00;1983-11;17.0;Y
1983-12-01 06:00:01;1984-01-01 06:00:00;1983-12;64.9;Y
1984-01-01 06:00:01;1984-02-01 06:00:00;1984-01;95.1;Y
1984-02-01 06:00:01;1984-03-01 06:00:00;1984-02;33.2;Y
1984-03-01 06:00:01;1984-04-01 06:00:00;1984-03;19.2;Y
1984-04-01 06:00:01;1984-05-01 06:00:00;1984-04;11.9;Y
1984-05-01 06:00:01;1984-06-01 06:00:00;1984-05;20.5;Y
1984-06-01 06:00:01;1984-07-01 06:00:00;1984-06;87.5;Y
1984-07-01 06:00:01;1984-08-01 06:00:00;1984-07;170.7;Y
1984-08-01 06:00:01;1984-09-01 06:00:00;1984-08;49.7;Y
1984-09-01 06:00:01;1984-10-01 06:00:00;1984-09;117.2;Y
1984-10-01 06:00:01;1984-11-01 06:00:00;1984-10;101.5;Y
1984-11-01 06:00:01;1984-12-01 06:00:00;1984-11;28.8;Y
1984-12-01 06:00:01;1985-01-01 06:00:00;1984-12;71.2;Y
1985-01-01 06:00:01;1985-02-01 06:00:00;1985-01;82.5;Y
1985-02-01 06:00:01;1985-03-01 06:00:00;1985-02;28.2;Y
1985-03-01 06:00:01;1985-04-01 06:00:00;1985-03;29.7;Y
1985-04-01 06:00:01;1985-05-01 06:00:00;1985-04;48.8;Y
1985-05-01 06:00:01;1985-06-01 06:00:00;1985-05;8.0;Y
1985-06-01 06:00:01;1985-07-01 06:00:00;1985-06;29.2;Y
1985-07-01 06:00:01;1985-08-01 06:00:00;1985-07;95.0;Y
1985-08-01 06:00:01;1985-09-01 06:00:00;1985-08;50.7;Y
1985-09-01 06:00:01;1985-10-01 06:00:00;1985-09;73.1;Y
1985-10-01 06:00:01;1985-11-01 06:00:00;1985-10;21.3;Y
1985-11-01 06:00:01;1985-12-01 06:00:00;1985-11;94.3;Y
1985-12-01 06:00:01;1986-01-01 06:00:00;1985-12;67.7;Y
1986-03-01 06:00:01;1986-04-01 06:00:00;1986-03;64.6;Y
1986-04-01 06:00:01;1986-05-01 06:00:00;1986-04;53.8;Y
1986-05-01 06:00:01;1986-06-01 06:00:00;1986-05;47.6;Y
1986-06-01 06:00:01;1986-07-01 06:00:00;1986-06;52.5;Y
1986-09-01 06:00:01;1986-10-01 06:00:00;1986-09;56.3;Y
1986-11-01 06:00:01;1986-12-01 06:00:00;1986-11;52.7;Y
1986-12-01 06:00:01;1987-01-01 06:00:00;1986-12;99.4;Y
1987-01-01 06:00:01;1987-02-01 06:00:00;1987-01;24.6;Y
1987-02-01 06:00:01;1987-03-01 06:00:00;1987-02;20.1;Y
1987-04-01 06:00:01;1987-05-01 06:00:00;1987-04;8.2;Y
1987-07-01 06:00:01;1987-08-01 06:00:00;1987-07;54.5;Y
1987-10-01 06:00:01;1987-11-01 06:00:00;1987-10;40.5;Y
1988-02-01 06:00:01;1988-03-01 06:00:00;1988-02;58.8;Y
1988-03-01 06:00:01;1988-04-01 06:00:00;1988-03;24.3;Y
1988-04-01 06:00:01;1988-05-01 06:00:00;1988-04;26.5;Y
1988-05-01 06:00:01;1988-06-01 06:00:00;1988-05;20.1;Y
1988-06-01 06:00:01;1988-07-01 06:00:00;1988-06;89.0;Y
1988-07-01 06:00:01;1988-08-01 06:00:00;1988-07;90.4;Y
1988-08-01 06:00:01;1988-09-01 06:00:00;1988-08;45.9;Y
1988-09-01 06:00:01;1988-10-01 06:00:00;1988-09;47.0;Y
1988-10-01 06:00:01;1988-11-01 06:00:00;1988-10;39.4;Y
1988-11-01 06:00:01;1988-12-01 06:00:00;1988-11;38.1;Y
1988-12-01 06:00:01;1989-01-01 06:00:00;1988-12;56.3;Y
1989-01-01 06:00:01;1989-02-01 06:00:00;1989-01;5.1;Y
1989-02-01 06:00:01;1989-03-01 06:00:00;1989-02;43.2;Y
1989-03-01 06:00:01;1989-04-01 06:00:00;1989-03;51.8;Y
1989-04-01 06:00:01;1989-05-01 06:00:00;1989-04;23.4;Y
1989-05-01 06:00:01;1989-06-01 06:00:00;1989-05;31.2;Y
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;51.6;Y
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;11.8;Y
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;51.2;Y
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;30.2;Y
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;69.0;Y
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;68.9;Y
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;37.2;Y
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;81.7;Y
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;84.0;Y
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;35.6;Y
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;20.9;Y
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;25.0;Y
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;23.2;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;116.6;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;21.4;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;148.6;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;71.3;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;61.6;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;38.0;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;50.6;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;33.6;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;22.9;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;11.5;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;72.6;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;125.0;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;80.3;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;100.8;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;71.2;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;44.6;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;62.3;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;45.4;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;19.2;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;38.5;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;32.4;Y
