Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Svanberga A;98490;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-09-01 00:00:00;2018-04-30 23:59:59;15.0;59.8321;18.6348

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;30.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;52.8;Y;;Tidsperiod (fr.o.m.) = 1995-09-01 00:00:00 (UTC)
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;18.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;35.4;Y;;Värdet är summerat över = 1 månad
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;12.9;Y;;
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;8.6;Y;;Kvalitetskoderna:
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;15.6;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;24.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;12.8;Y;;
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;50.3;Y;;Orsaker till saknade data:
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;49.6;Y;;  stationen eller givaren har varit ur funktion.
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;55.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;15.3;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;29.0;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;14.2;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;100.4;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;36.3;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;16.2;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;42.4;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;26.4;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;25.4;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;68.9;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;58.9;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;39.8;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;36.4;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;38.0;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;56.8;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;50.0;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;34.6;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;66.0;Y
