Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Almunge;98560;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1988-06-01 00:00:00;2018-03-31 23:59:59;15.0;59.9341;18.0499

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1988-05-01 06:00:01;1988-06-01 06:00:00;1988-05;22.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1988-06-01 06:00:01;1988-07-01 06:00:00;1988-06;43.9;Y;;Tidsperiod (fr.o.m.) = 1988-06-01 00:00:00 (UTC)
1988-07-01 06:00:01;1988-08-01 06:00:00;1988-07;102.5;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1988-08-01 06:00:01;1988-09-01 06:00:00;1988-08;98.8;Y;;Värdet är summerat över = 1 månad
1988-09-01 06:00:01;1988-10-01 06:00:00;1988-09;29.8;Y;;
1988-10-01 06:00:01;1988-11-01 06:00:00;1988-10;63.0;Y;;Kvalitetskoderna:
1988-11-01 06:00:01;1988-12-01 06:00:00;1988-11;35.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1988-12-01 06:00:01;1989-01-01 06:00:00;1988-12;57.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1989-01-01 06:00:01;1989-02-01 06:00:00;1989-01;8.3;Y;;
1989-02-01 06:00:01;1989-03-01 06:00:00;1989-02;29.2;Y;;Orsaker till saknade data:
1989-03-01 06:00:01;1989-04-01 06:00:00;1989-03;40.4;Y;;  stationen eller givaren har varit ur funktion.
1989-04-01 06:00:01;1989-05-01 06:00:00;1989-04;41.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1989-05-01 06:00:01;1989-06-01 06:00:00;1989-05;34.0;Y
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;29.5;Y
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;42.5;Y
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;66.0;Y
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;27.0;Y
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;59.9;Y
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;98.2;Y
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;43.9;Y
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;62.1;Y
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;59.9;Y
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;38.6;Y
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;39.5;Y
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;32.9;Y
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;36.0;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;173.0;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;36.9;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;133.5;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;70.2;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;52.4;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;39.6;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;45.6;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;31.2;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;12.9;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;65.0;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;112.0;Y
