Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Svenska Högarna;99270;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1879-12-01 00:00:00;2018-05-01 15:00:00;12.0;59.4445;19.5059

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1879-11-01 07:00:01;1879-12-01 07:00:00;1879-11;25.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1879-12-01 07:00:01;1880-01-01 07:00:00;1879-12;10.0;G;;Tidsperiod (fr.o.m.) = 1879-12-01 00:00:00 (UTC)
1880-01-01 07:00:01;1880-02-01 07:00:00;1880-01;3.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1880-02-01 07:00:01;1880-03-01 07:00:00;1880-02;5.0;G;;Värdet är summerat över = 1 månad
1880-03-01 07:00:01;1880-04-01 07:00:00;1880-03;2.0;G;;
1880-04-01 07:00:01;1880-05-01 07:00:00;1880-04;14.0;G;;Kvalitetskoderna:
1880-05-01 07:00:01;1880-06-01 07:00:00;1880-05;6.0;G;;Grön (G) = Kontrollerade och godkända värden.
1880-06-01 07:00:01;1880-07-01 07:00:00;1880-06;26.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1880-07-01 07:00:01;1880-08-01 07:00:00;1880-07;24.0;G;;
1880-08-01 07:00:01;1880-09-01 07:00:00;1880-08;19.0;G;;Orsaker till saknade data:
1880-09-01 07:00:01;1880-10-01 07:00:00;1880-09;20.0;G;;  stationen eller givaren har varit ur funktion.
1880-10-01 07:00:01;1880-11-01 07:00:00;1880-10;38.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1880-11-01 07:00:01;1880-12-01 07:00:00;1880-11;36.0;G
1880-12-01 07:00:01;1881-01-01 07:00:00;1880-12;29.0;G
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;7.0;G
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;26.0;G
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;10.0;G
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;8.0;G
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;18.0;G
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;46.0;G
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;21.0;G
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;31.0;G
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;60.0;G
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;41.0;G
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;30.0;G
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;21.0;G
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;22.0;G
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;9.0;G
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;24.0;G
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;25.0;G
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;24.0;G
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;22.0;G
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;41.0;G
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;62.0;G
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;38.0;G
1882-10-01 07:00:01;1882-11-01 07:00:00;1882-10;35.0;G
1882-11-01 07:00:01;1882-12-01 07:00:00;1882-11;58.0;G
1882-12-01 07:00:01;1883-01-01 07:00:00;1882-12;22.0;G
1883-01-01 07:00:01;1883-02-01 07:00:00;1883-01;9.0;G
1883-02-01 07:00:01;1883-03-01 07:00:00;1883-02;14.0;G
1883-03-01 07:00:01;1883-04-01 07:00:00;1883-03;2.0;G
1883-04-01 07:00:01;1883-05-01 07:00:00;1883-04;6.0;G
1883-05-01 07:00:01;1883-06-01 07:00:00;1883-05;24.0;G
1883-06-01 07:00:01;1883-07-01 07:00:00;1883-06;8.0;G
1883-07-01 07:00:01;1883-08-01 07:00:00;1883-07;79.0;G
1883-08-01 07:00:01;1883-09-01 07:00:00;1883-08;44.0;G
1883-09-01 07:00:01;1883-10-01 07:00:00;1883-09;100.0;G
1883-10-01 07:00:01;1883-11-01 07:00:00;1883-10;35.0;G
1883-11-01 07:00:01;1883-12-01 07:00:00;1883-11;70.0;G
1883-12-01 07:00:01;1884-01-01 07:00:00;1883-12;14.0;G
1884-01-01 07:00:01;1884-02-01 07:00:00;1884-01;18.0;G
1884-02-01 07:00:01;1884-03-01 07:00:00;1884-02;10.0;G
1884-03-01 07:00:01;1884-04-01 07:00:00;1884-03;19.0;G
1884-04-01 07:00:01;1884-05-01 07:00:00;1884-04;4.0;G
1884-05-01 07:00:01;1884-06-01 07:00:00;1884-05;31.0;G
1884-06-01 07:00:01;1884-07-01 07:00:00;1884-06;72.0;G
1884-07-01 07:00:01;1884-08-01 07:00:00;1884-07;40.0;G
1884-08-01 07:00:01;1884-09-01 07:00:00;1884-08;7.0;G
1884-09-01 07:00:01;1884-10-01 07:00:00;1884-09;8.0;G
1884-10-01 07:00:01;1884-11-01 07:00:00;1884-10;56.0;G
1884-11-01 07:00:01;1884-12-01 07:00:00;1884-11;24.0;G
1884-12-01 07:00:01;1885-01-01 07:00:00;1884-12;33.0;G
1885-01-01 07:00:01;1885-02-01 07:00:00;1885-01;30.0;G
1885-02-01 07:00:01;1885-03-01 07:00:00;1885-02;17.0;G
1885-03-01 07:00:01;1885-04-01 07:00:00;1885-03;7.0;G
1885-04-01 07:00:01;1885-05-01 07:00:00;1885-04;17.0;G
1885-05-01 07:00:01;1885-06-01 07:00:00;1885-05;54.0;G
1885-06-01 07:00:01;1885-07-01 07:00:00;1885-06;36.0;G
1885-07-01 07:00:01;1885-08-01 07:00:00;1885-07;20.0;G
1885-08-01 07:00:01;1885-09-01 07:00:00;1885-08;71.0;G
1885-09-01 07:00:01;1885-10-01 07:00:00;1885-09;30.0;G
1885-10-01 07:00:01;1885-11-01 07:00:00;1885-10;149.0;G
1885-11-01 07:00:01;1885-12-01 07:00:00;1885-11;19.0;G
1885-12-01 07:00:01;1886-01-01 07:00:00;1885-12;24.0;G
1886-01-01 07:00:01;1886-02-01 07:00:00;1886-01;27.0;G
1886-02-01 07:00:01;1886-03-01 07:00:00;1886-02;8.0;G
1886-03-01 07:00:01;1886-04-01 07:00:00;1886-03;8.0;G
1886-04-01 07:00:01;1886-05-01 07:00:00;1886-04;24.0;G
1886-05-01 07:00:01;1886-06-01 07:00:00;1886-05;23.0;G
1886-06-01 07:00:01;1886-07-01 07:00:00;1886-06;18.0;G
1886-07-01 07:00:01;1886-08-01 07:00:00;1886-07;25.0;G
1886-08-01 07:00:01;1886-09-01 07:00:00;1886-08;12.0;G
1886-09-01 07:00:01;1886-10-01 07:00:00;1886-09;32.0;G
1886-10-01 07:00:01;1886-11-01 07:00:00;1886-10;33.0;G
1886-11-01 07:00:01;1886-12-01 07:00:00;1886-11;23.0;G
1886-12-01 07:00:01;1887-01-01 07:00:00;1886-12;43.0;G
1887-01-01 07:00:01;1887-02-01 07:00:00;1887-01;9.0;G
1887-02-01 07:00:01;1887-03-01 07:00:00;1887-02;9.0;G
