Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Svenska Högarna A;99280;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2010-07-01 00:00:00;2018-05-01 15:00:00;12.0;59.4428;19.5058

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;16.1;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;23.8;Y;;Tidsperiod (fr.o.m.) = 2010-07-01 00:00:00 (UTC)
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;79.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;34.4;Y;;Värdet är summerat över = 1 månad
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;43.9;Y;;
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;41.2;Y;;Kvalitetskoderna:
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;34.3;Y;;Grön (G) = Kontrollerade och godkända värden.
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;24.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;31.6;Y;;
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;4.6;Y;;Orsaker till saknade data:
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;12.1;Y;;  stationen eller givaren har varit ur funktion.
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;20.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;48.6;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;22.1;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;72.4;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;60.9;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;25.5;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;10.2;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;54.8;Y
